time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00,0.04,0.03,0.86,0.17,0.26,-0.85
0.01,0.04,0.03,0.86,0.24,-0.08,-1.50
0.02,0.05,0.03,0.85,0.08,0.31,-2.64
0.03,0.03,0.04,0.84,-0.38,0.34,-2.38
0.04,0.03,0.03,0.84,-1.21,-0.02,-1.66
0.05,0.04,0.03,0.84,-2.38,-0.08,-1.19
0.06,0.04,0.02,0.84,-4.03,-0.02,-0.40
0.07,0.05,0.02,0.86,-4.31,1.05,-0.20
0.08,0.06,0.01,0.87,-3.63,1.74,0.06
0.09,0.05,0.00,0.87,-2.47,2.92,0.05
0.10,0.05,0.01,0.88,-1.05,3.68,-0.40
0.11,0.05,0.01,0.86,0.12,3.33,-1.11
0.12,0.05,0.02,0.85,0.31,3.07,-1.33
0.13,0.06,0.03,0.84,-0.87,3.48,-2.03
0.14,0.05,0.03,0.84,-2.23,3.51,-2.08
0.15,0.04,0.03,0.85,-2.79,3.22,-1.15
0.16,0.05,0.03,0.86,-3.51,3.25,-1.05
0.17,0.05,0.02,0.85,-3.31,4.09,-1.69
0.18,0.03,0.02,0.87,-1.65,3.60,-1.65
0.19,0.03,0.02,0.87,-0.18,2.35,-1.24
0.20,0.04,0.02,0.86,-0.96,2.26,-1.77
0.21,0.04,0.03,0.86,-1.30,1.45,-2.66
0.22,0.03,0.02,0.86,-0.43,0.55,-3.02
0.23,0.03,0.03,0.87,-0.52,1.56,-2.67
0.24,0.02,0.03,0.86,-1.45,2.34,-2.06
0.25,0.02,0.03,0.87,-2.02,2.76,-1.10
0.26,0.03,0.02,0.86,-3.65,2.53,-0.49
0.27,0.03,0.02,0.88,-4.31,2.52,-0.63
0.28,0.03,0.01,0.88,-3.27,2.17,-0.53
0.29,0.03,-0.00,0.88,-2.31,0.99,-1.27
0.30,0.02,0.00,0.89,-0.56,-0.79,-1.59
0.31,0.03,0.00,0.89,0.72,-1.63,-2.02
0.32,0.03,0.01,0.88,0.64,-2.08,-2.38
0.33,0.04,0.01,0.88,0.27,-2.09,-2.35
0.34,0.04,0.02,0.88,0.03,-0.46,-2.02
0.35,0.03,0.01,0.87,-0.60,1.01,-1.04
0.36,0.03,0.02,0.86,-1.02,1.33,-0.31
0.37,0.03,0.02,0.87,-0.47,1.48,0.32
0.38,0.04,0.02,0.86,-0.96,1.76,0.61
0.39,0.04,0.02,0.86,-0.69,1.60,-0.20
