time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.01,0.32,-0.16,1.00,-3.48,-2.49,-11.76
0.02,0.31,-0.15,1.00,-4.56,-2.08,7.47
0.03,0.31,-0.16,1.00,-3.79,-2.52,-9.94
0.04,0.32,-0.15,1.00,-4.41,-2.56,-8.21
0.05,0.31,-0.15,1.00,-4.87,-2.81,-18.35
0.06,0.31,-0.15,1.00,-4.70,-2.82,-7.53
0.07,0.32,-0.15,1.00,-6.08,-2.85,-21.91
0.08,0.32,-0.15,1.01,-5.63,-3.16,-6.11
0.09,0.32,-0.16,1.00,-5.15,-2.87,-11.34
0.10,0.34,-0.17,1.00,-5.42,-2.46,-0.46
0.11,0.35,-0.18,1.01,-5.22,-1.47,-6.92
0.12,0.34,-0.19,1.01,-4.72,-1.10,-8.81
0.13,0.33,-0.18,1.01,-3.86,-1.31,-10.17
0.14,0.33,-0.17,1.00,-3.86,-1.44,-12.96
0.15,0.33,-0.17,1.01,-4.12,-1.40,-12.50
0.16,0.32,-0.16,1.00,-3.37,-1.50,-13.24
0.17,0.32,-0.16,1.00,-4.49,-0.96,-9.11
0.18,0.31,-0.16,0.98,-4.12,-0.52,-10.96
0.19,0.30,-0.15,1.00,-4.32,-0.66,-16.29
0.20,0.31,-0.13,1.00,-7.59,-0.98,-2.17
0.21,0.31,-0.13,0.99,-5.47,-1.60,-10.84
0.22,0.32,-0.14,0.98,-5.66,-0.79,-6.70
0.23,0.31,-0.14,0.98,-6.32,-0.12,-13.51
0.24,0.32,-0.15,0.99,-7.47,-0.60,-6.24
0.25,0.32,-0.15,1.00,-7.24,-1.65,-11.44
0.26,0.32,-0.16,1.00,-8.29,-1.11,0.41
0.27,0.33,-0.16,1.00,-5.77,-1.25,-10.85
0.28,0.32,-0.16,1.01,-6.58,-0.64,-18.17
0.29,0.32,-0.16,0.99,-6.93,-1.04,-5.30
0.30,0.32,-0.17,1.01,-6.69,-0.29,-14.78
0.31,0.32,-0.17,1.02,-6.44,-0.41,-18.70
0.32,0.31,-0.17,1.02,-6.17,0.05,-4.20
0.33,0.32,-0.17,1.01,-5.80,-0.37,-1.80
0.34,0.33,-0.17,1.01,-5.95,0.58,-9.97
0.35,0.33,-0.18,1.01,-6.08,0.31,-1.97
0.36,0.32,-0.17,1.02,-5.98,0.73,1.13
0.37,0.32,-0.17,1.00,-5.07,1.53,-15.15
0.38,0.31,-0.16,0.99,-5.37,1.63,-5.82
0.39,0.31,-0.15,1.00,-6.49,1.62,-6.96
0.40,0.30,-0.15,1.00,-6.09,1.05,-10.92
0.41,0.30,-0.15,1.00,-6.32,1.04,-11.91
0.42,0.30,-0.15,1.00,-6.40,1.01,-6.20
0.43,0.30,-0.16,1.01,-7.27,0.84,-10.00
0.44,0.29,-0.16,1.01,-7.77,0.18,-8.41
0.45,0.29,-0.16,1.02,-7.18,-1.28,-13.59
0.46,0.30,-0.16,1.00,-7.89,-1.54,-8.06
0.47,0.30,-0.17,1.01,-7.39,-1.88,7.97
0.48,0.31,-0.16,1.01,-7.42,-0.95,-13.69
0.49,0.31,-0.17,1.02,-7.34,-0.61,-5.62
0.50,0.30,-0.18,1.02,-7.36,-1.01,-10.17
