time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00,0.19,-0.23,0.88,-5.86,-3.82,2.43
0.01,0.19,-0.24,0.89,-8.26,-5.71,2.55
0.02,0.21,-0.25,0.89,-8.11,-5.51,2.52
0.03,0.21,-0.25,0.88,-8.44,-4.40,1.65
0.04,0.22,-0.25,0.88,-9.95,-4.20,1.05
0.05,0.22,-0.25,0.87,-11.37,-3.57,1.15
0.06,0.22,-0.25,0.89,-10.58,-1.40,1.34
0.07,0.22,-0.27,0.92,-10.67,-0.18,1.59
0.08,0.20,-0.28,0.94,-9.97,-1.68,1.22
0.09,0.19,-0.29,0.95,-8.38,-4.27,0.63
0.10,0.18,-0.28,0.93,-7.85,-7.65,0.23
0.11,0.19,-0.27,0.91,-7.56,-9.19,0.29
0.12,0.21,-0.27,0.89,-9.07,-8.18,0.15
0.13,0.20,-0.26,0.88,-10.90,-8.23,0.23
0.14,0.23,-0.26,0.86,-11.89,-7.57,1.25
0.15,0.24,-0.28,0.87,-11.88,-5.66,2.08
0.16,0.25,-0.29,0.88,-11.16,-3.37,2.15
0.17,0.26,-0.29,0.89,-11.71,-2.02,1.51
0.18,0.25,-0.31,0.91,-8.99,-2.41,0.73
0.19,0.25,-0.31,0.93,-7.28,-1.44,-0.31
0.20,0.22,-0.30,0.93,-8.08,-1.82,-1.69
0.21,0.19,-0.29,0.94,-8.21,-4.27,-1.01
0.22,0.19,-0.30,0.94,-7.34,-4.84,0.63
0.23,0.21,-0.29,0.90,-7.98,-3.19,1.66
0.24,0.21,-0.29,0.89,-9.40,-2.67,1.60
0.25,0.21,-0.29,0.88,-9.66,-3.34,1.77
0.26,0.23,-0.29,0.86,-10.53,-2.84,2.53
0.27,0.24,-0.29,0.85,-11.88,-1.71,3.50
0.28,0.25,-0.30,0.85,-11.77,-0.37,3.77
0.29,0.25,-0.31,0.87,-11.86,-0.18,3.66
0.30,0.26,-0.32,0.89,-10.03,-0.27,2.58
0.31,0.25,-0.32,0.90,-9.44,-0.20,0.81
0.32,0.22,-0.32,0.89,-9.33,-1.22,-0.31
0.33,0.21,-0.31,0.89,-8.40,-2.69,-0.58
0.34,0.21,-0.30,0.86,-9.56,-1.86,-0.60
0.35,0.21,-0.30,0.85,-10.85,-0.87,0.34
0.36,0.20,-0.30,0.85,-12.14,0.02,1.82
0.37,0.21,-0.30,0.83,-12.61,0.73,3.13
0.38,0.22,-0.31,0.84,-14.61,-0.15,3.22
0.39,0.22,-0.31,0.86,-14.92,-2.38,2.84
0.40,0.24,-0.33,0.87,-13.39,-3.62,2.69
0.41,0.25,-0.33,0.86,-13.65,-2.63,2.26
0.42,0.23,-0.33,0.87,-15.65,-2.95,1.47
0.43,0.22,-0.34,0.89,-13.65,-3.54,2.61
0.44,0.22,-0.35,0.88,-13.40,-2.29,3.18
0.45,0.23,-0.35,0.89,-13.79,-2.40,1.97
0.46,0.21,-0.35,0.89,-12.61,-3.51,1.36
0.47,0.21,-0.34,0.88,-12.41,-4.89,0.58
0.48,0.21,-0.33,0.85,-14.05,-6.69,0.15
0.49,0.20,-0.33,0.85,-16.15,-7.04,0.63
0.50,0.21,-0.33,0.84,-16.85,-8.84,2.61
0.51,0.23,-0.34,0.82,-16.66,-8.73,4.63
0.52,0.25,-0.35,0.83,-16.90,-7.86,5.33
0.53,0.27,-0.35,0.82,-17.31,-4.99,6.34
0.54,0.27,-0.35,0.82,-18.21,-2.24,6.24
0.55,0.27,-0.36,0.84,-18.99,0.31,5.92
0.56,0.25,-0.38,0.87,-19.19,1.08,5.63
0.57,0.24,-0.40,0.90,-18.38,-0.70,4.73
0.58,0.24,-0.41,0.92,-17.77,-3.59,3.53
0.59,0.24,-0.41,0.92,-15.83,-6.37,2.14
0.60,0.24,-0.41,0.89,-15.27,-7.51,1.42
0.61,0.24,-0.40,0.85,-15.45,-6.82,1.63
0.62,0.25,-0.39,0.83,-16.14,-4.93,2.79
0.63,0.25,-0.39,0.83,-16.43,-1.95,4.32
0.64,0.26,-0.40,0.82,-16.84,0.82,6.18
0.65,0.27,-0.40,0.83,-16.81,1.13,6.40
0.66,0.27,-0.41,0.84,-17.83,0.93,5.66
0.67,0.28,-0.42,0.87,-18.03,0.84,4.11
0.68,0.27,-0.43,0.86,-17.01,-0.37,2.11
0.69,0.25,-0.43,0.88,-15.76,-1.71,0.27
0.70,0.23,-0.42,0.87,-14.58,-2.03,0.70
0.71,0.23,-0.43,0.87,-13.39,-1.57,1.68
0.72,0.22,-0.43,0.86,-12.92,-0.20,2.75
0.73,0.22,-0.43,0.84,-13.80,0.63,3.30
0.74,0.22,-0.43,0.83,-14.82,-0.67,3.89
0.75,0.24,-0.42,0.80,-15.15,-1.24,4.49
0.76,0.26,-0.41,0.78,-16.41,-0.05,4.73
0.77,0.26,-0.42,0.77,-18.49,0.09,4.67
0.78,0.25,-0.42,0.79,-20.18,-0.26,4.67
0.79,0.23,-0.42,0.81,-20.61,-1.15,5.62
0.80,0.23,-0.45,0.84,-20.38,-1.80,6.02
0.81,0.23,-0.46,0.85,-19.47,-1.33,6.35
0.82,0.23,-0.48,0.86,-17.13,-0.69,6.50
0.83,0.24,-0.47,0.87,-14.08,1.19,7.22
0.84,0.25,-0.46,0.85,-13.51,2.58,7.11
0.85,0.25,-0.46,0.81,-14.55,3.51,7.15
0.86,0.26,-0.46,0.80,-17.07,4.84,7.42
0.87,0.28,-0.46,0.78,-18.61,6.03,7.36
0.88,0.26,-0.46,0.80,-21.34,5.33,5.89
0.89,0.25,-0.49,0.83,-21.91,0.85,4.95
0.90,0.26,-0.50,0.87,-20.31,-0.70,3.91
0.91,0.24,-0.51,0.86,-19.40,-4.61,1.62
0.92,0.23,-0.51,0.87,-17.39,-8.24,0.06
0.93,0.24,-0.50,0.83,-14.23,-7.16,0.15
0.94,0.23,-0.49,0.82,-14.44,-6.63,0.17
0.95,0.23,-0.49,0.80,-15.73,-5.07,0.96
0.96,0.25,-0.49,0.81,-16.64,-1.57,3.04
0.97,0.25,-0.51,0.82,-16.96,1.22,4.81
0.98,0.26,-0.52,0.81,-16.46,4.03,5.16
0.99,0.26,-0.52,0.82,-16.67,5.44,4.95
1.00,0.25,-0.53,0.83,-16.67,3.28,3.62
1.01,0.24,-0.53,0.84,-16.66,-1.40,1.53
1.02,0.24,-0.54,0.84,-16.14,-8.24,-1.36
1.03,0.23,-0.55,0.85,-15.21,-12.63,-3.59
1.04,0.24,-0.54,0.84,-14.50,-13.60,-4.56
1.05,0.23,-0.54,0.83,-13.97,-12.93,-3.68
1.06,0.24,-0.52,0.81,-14.66,-10.11,-1.92
1.07,0.25,-0.53,0.78,-16.02,-6.11,-0.23
1.08,0.24,-0.52,0.79,-18.26,-5.18,0.95
1.09,0.24,-0.53,0.79,-17.04,-3.74,2.34
1.10,0.26,-0.54,0.79,-16.21,-1.54,3.07
1.11,0.26,-0.55,0.78,-14.40,-0.92,3.40
1.12,0.25,-0.55,0.78,-14.35,-0.08,2.72
1.13,0.25,-0.55,0.78,-13.59,-1.42,2.15
1.14,0.25,-0.56,0.80,-12.53,-3.42,1.69
1.15,0.25,-0.56,0.80,-13.13,-3.33,0.56
1.16,0.24,-0.56,0.80,-13.77,-4.50,-0.11
1.17,0.22,-0.56,0.79,-14.47,-5.79,0.23
1.18,0.23,-0.56,0.79,-14.75,-6.15,0.76
1.19,0.24,-0.55,0.78,-15.10,-5.86,0.92
1.20,0.23,-0.56,0.76,-14.98,-5.42,1.50
1.21,0.24,-0.55,0.75,-15.28,-5.08,2.20
1.22,0.25,-0.55,0.74,-15.89,-5.80,2.37
1.23,0.24,-0.56,0.75,-16.17,-6.26,2.12
1.24,0.25,-0.56,0.74,-16.73,-6.02,1.79
1.25,0.24,-0.56,0.75,-16.41,-6.03,2.38
1.26,0.24,-0.58,0.75,-14.15,-4.52,3.18
1.27,0.25,-0.58,0.74,-13.63,-0.87,4.27
1.28,0.26,-0.58,0.74,-14.24,2.73,5.48
1.29,0.24,-0.58,0.76,-15.60,2.82,6.29
