time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00,0.00,0.03,0.88,-1.36,3.54,-1.54
0.01,-0.01,0.03,0.87,-1.63,4.60,0.03
0.02,-0.01,0.03,0.88,-1.34,4.18,-0.20
0.03,-0.00,0.05,0.88,-0.85,4.15,0.06
0.04,0.00,0.04,0.88,0.12,2.14,0.00
0.05,0.00,0.03,0.87,0.40,0.53,-0.60
0.06,0.02,0.04,0.88,0.08,0.58,-0.49
0.07,0.03,0.04,0.88,-0.67,1.71,-0.43
0.08,0.02,0.04,0.89,-0.41,3.33,-1.01
0.09,0.01,0.04,0.89,0.35,2.73,-1.08
0.10,0.00,0.04,0.87,0.23,1.92,-1.02
0.11,0.01,0.04,0.88,0.58,0.95,-0.26
0.12,0.01,0.04,0.88,1.16,0.37,-0.09
0.13,0.02,0.06,0.86,-0.03,1.21,-0.21
0.14,0.01,0.06,0.86,-1.13,1.34,-1.30
0.15,0.00,0.04,0.86,-1.11,1.73,-1.80
0.16,-0.00,0.04,0.87,-0.66,0.20,-1.42
0.17,0.01,0.05,0.88,-1.28,-1.10,-1.31
0.18,0.02,0.04,0.87,-1.92,-0.75,-1.73
0.19,0.02,0.05,0.88,-1.88,-0.44,-0.29
0.20,0.03,0.04,0.87,-1.62,1.69,-0.50
0.21,0.02,0.03,0.88,-1.37,1.66,-1.71
0.22,0.01,0.03,0.89,-0.66,1.47,-2.34
0.23,0.01,0.04,0.88,-0.46,2.24,-1.71
0.24,0.02,0.03,0.89,-0.41,2.64,-3.10
0.25,0.01,0.05,0.88,-0.72,5.11,-3.71
0.26,0.01,0.05,0.86,-2.38,7.57,-3.74
0.27,-0.02,0.02,0.85,-2.49,11.37,-2.93
0.28,-0.05,0.02,0.88,-2.06,9.04,-0.76
0.29,0.01,0.03,0.83,-4.56,17.80,0.06
0.30,-0.03,0.06,0.85,-7.54,21.30,0.43
0.31,-0.07,0.04,0.88,-6.70,13.47,-1.47
0.32,-0.08,0.01,0.86,-4.31,9.18,-2.87
0.33,-0.10,0.03,0.86,-5.08,4.76,-2.05
0.34,-0.12,0.04,0.85,-5.40,2.00,0.27
0.35,-0.14,0.03,0.84,-4.98,-2.87,0.43
0.36,-0.16,0.04,0.85,-4.63,-4.78,2.02
0.37,-0.20,0.00,0.86,-3.68,-8.46,3.80
0.38,-0.23,-0.01,0.88,-2.84,-13.31,5.42
0.39,-0.26,-0.04,0.89,-0.32,-15.74,8.18
0.40,-0.27,-0.05,0.89,3.59,-15.33,12.29
0.41,-0.31,-0.04,0.88,5.11,-14.66,17.45
0.42,-0.32,-0.03,0.87,5.45,-11.89,22.76
0.43,-0.38,-0.03,0.84,5.69,-11.71,25.45
0.44,-0.41,0.03,0.83,3.21,-15.56,29.79
0.45,-0.40,0.00,0.83,1.33,-18.41,32.67
0.46,-0.40,-0.00,0.84,1.44,-18.55,38.38
0.47,-0.37,0.01,0.87,0.56,-18.82,44.15
0.48,-0.33,-0.05,0.84,-2.34,-15.25,45.68
0.49,-0.33,0.05,0.87,0.93,-9.48,49.51
0.50,-0.30,0.00,0.90,0.32,-10.43,52.75
0.51,-0.24,0.00,0.91,4.15,-4.82,54.61
0.52,-0.25,0.00,0.92,8.79,-4.05,56.31
0.53,-0.21,0.02,0.93,6.82,-5.79,57.63
0.54,-0.16,0.02,0.93,4.44,-6.18,59.07
0.55,-0.12,0.02,0.93,4.85,-5.16,59.39
0.56,-0.07,0.03,0.92,5.63,-0.44,59.48
0.57,-0.07,0.04,0.91,8.63,6.18,58.90
0.58,-0.11,0.07,0.85,8.31,5.79,59.21
0.59,-0.14,0.06,0.84,6.55,0.95,59.91
0.60,-0.07,0.11,0.82,3.57,3.40,58.50
0.61,-0.08,0.07,0.83,1.48,-2.34,60.02
0.62,-0.03,0.03,0.85,4.02,-1.33,61.85
0.63,0.02,-0.04,0.83,-0.53,-1.79,58.72
0.64,0.06,0.08,0.86,1.44,7.60,59.51
0.65,0.05,0.05,0.89,-0.05,9.27,59.79
0.66,0.03,0.03,0.88,-1.83,8.46,60.08
0.67,-0.02,0.04,0.86,-1.34,7.36,61.28
0.68,-0.02,0.04,0.84,-1.83,6.47,60.90
0.69,-0.04,0.03,0.86,-8.49,2.34,60.93
0.70,-0.04,-0.01,0.88,-5.92,-0.55,62.96
0.71,-0.01,-0.04,0.91,-2.27,-2.76,64.58
0.72,0.04,-0.02,0.92,-1.19,-4.05,63.92
0.73,0.04,-0.03,0.90,2.18,-2.89,62.69
0.74,0.03,0.01,0.89,0.21,0.67,63.62
0.75,-0.00,0.00,0.89,-2.64,1.63,65.62
0.76,0.00,-0.04,0.90,-3.01,-0.76,64.05
0.77,-0.00,-0.04,0.92,-0.79,-4.11,61.50
0.78,-0.01,-0.04,0.91,0.35,-7.57,61.68
0.79,0.02,-0.03,0.92,-0.34,-8.38,63.01
0.80,0.06,-0.04,0.89,0.79,-5.08,61.94
0.81,0.03,-0.03,0.88,1.40,-4.69,63.74
0.82,0.01,-0.04,0.88,1.48,-5.34,64.05
0.83,0.07,-0.02,0.87,1.40,-6.31,63.19
0.84,0.13,0.02,0.90,0.50,-1.47,62.27
0.85,0.15,0.02,0.89,-0.61,6.35,62.90
0.86,0.12,-0.00,0.88,-1.02,10.93,62.18
0.87,0.08,-0.03,0.87,-1.54,9.73,61.02
0.88,0.07,-0.04,0.87,-0.18,9.16,60.66
0.89,0.04,-0.05,0.86,2.78,11.07,61.42
0.90,0.01,-0.01,0.87,3.33,7.95,60.98
0.91,0.05,-0.00,0.86,2.27,4.76,60.84
0.92,0.12,0.00,0.87,-0.75,5.50,60.32
0.93,0.10,-0.02,0.86,-1.68,8.52,58.40
0.94,0.05,0.01,0.86,-1.92,9.97,57.22
0.95,0.03,0.01,0.84,-1.42,6.31,56.14
0.96,0.06,0.02,0.84,-3.83,5.66,55.42
0.97,0.11,-0.01,0.87,-3.42,4.78,53.94
0.98,0.18,0.00,0.92,-6.76,5.02,52.21
0.99,0.23,0.00,0.96,-7.15,8.92,49.60
1.00,0.24,-0.01,0.97,-4.93,12.46,47.51
1.01,0.22,0.04,0.93,-1.86,16.82,45.92
1.02,0.22,0.05,0.89,-0.73,21.44,43.91
1.03,0.23,0.03,0.85,-0.18,25.69,38.06
1.04,0.18,0.04,0.84,-3.21,25.30,34.43
1.05,0.14,0.06,0.85,-11.86,17.44,33.36
1.06,0.13,0.05,0.82,-8.85,17.97,29.97
1.07,0.16,0.01,0.85,-10.26,18.35,29.19
1.08,0.09,-0.05,0.85,-10.87,16.41,30.38
1.09,0.11,-0.09,0.86,-6.40,14.73,31.01
1.10,0.15,-0.08,0.86,-6.85,10.47,31.21
1.11,0.20,-0.07,0.88,-7.18,10.43,30.05
1.12,0.22,-0.06,0.87,-7.45,12.05,29.08
1.13,0.21,-0.05,0.87,-7.50,11.76,27.91
1.14,0.19,-0.04,0.86,-6.26,11.74,27.11
1.15,0.16,-0.03,0.84,-7.25,9.22,27.45
1.16,0.18,-0.06,0.83,-6.82,8.76,28.03
1.17,0.20,-0.09,0.85,-6.73,8.89,26.87
1.18,0.22,-0.13,0.89,-4.93,9.42,24.89
1.19,0.21,-0.11,0.90,-3.37,8.02,24.53
1.20,0.18,-0.08,0.89,-1.71,6.87,24.15
1.21,0.13,-0.05,0.84,-2.93,3.15,24.44
1.22,0.13,-0.08,0.81,-1.82,1.85,23.15
1.23,0.10,-0.09,0.80,-1.40,-1.28,24.38
1.24,0.14,-0.09,0.82,-2.69,-2.92,25.50
1.25,0.20,-0.07,0.87,-2.40,-0.35,24.11
1.26,0.20,-0.08,0.88,-0.37,1.80,22.82
1.27,0.19,-0.06,0.88,-0.37,3.42,22.72
1.28,0.19,-0.04,0.86,2.32,4.17,19.92
1.29,0.17,-0.02,0.84,3.94,6.90,19.11
1.30,0.12,0.03,0.80,0.82,7.77,16.73
1.31,0.07,0.02,0.78,-0.55,3.11,12.08
1.32,0.07,-0.00,0.78,1.02,-2.26,12.24
1.33,0.11,0.03,0.79,-2.75,-3.94,11.79
1.34,0.14,0.03,0.82,-5.07,-3.22,11.08
1.35,0.14,0.04,0.84,-7.11,-3.05,10.08
1.36,0.13,0.02,0.86,-7.22,-3.25,8.93
1.37,0.13,0.02,0.88,-6.34,-4.50,6.93
1.38,0.12,-0.01,0.90,-3.86,-2.87,6.69
1.39,0.09,-0.00,0.91,-2.46,-1.95,6.70
1.40,0.10,0.02,0.90,-2.93,-2.24,5.57
1.41,0.10,0.03,0.90,-2.87,-3.53,3.82
1.42,0.10,0.01,0.91,-3.18,-3.39,4.31
1.43,0.11,0.01,0.91,-1.94,-2.23,3.04
1.44,0.12,0.03,0.90,-0.73,-2.66,0.32
1.45,0.13,0.03,0.89,-0.76,0.69,-1.30
1.46,0.12,0.04,0.90,-2.09,2.89,-1.15
1.47,0.10,0.03,0.89,-2.21,4.98,-1.95
1.48,0.06,0.05,0.86,-2.64,4.40,-2.49
1.49,0.03,0.03,0.86,-3.10,2.34,-2.23
1.50,0.01,0.02,0.86,-1.57,1.28,-2.61
1.51,0.01,0.02,0.86,-1.66,-0.40,-2.32
1.52,-0.00,0.02,0.87,-3.15,0.11,-1.76
1.53,-0.01,0.02,0.86,-3.59,-1.45,-2.09
