time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.01,0.22,-0.28,0.99,-6.99,3.63,-2.61
0.02,0.21,-0.28,0.99,-6.82,1.85,-14.64
0.03,0.22,-0.29,1.00,-8.09,0.00,-3.68
0.04,0.23,-0.29,1.01,-7.47,-1.01,-0.29
0.05,0.24,-0.29,1.01,-7.34,-0.40,-11.10
0.06,0.23,-0.29,1.01,-7.42,0.26,-11.56
0.07,0.24,-0.29,1.01,-7.56,1.60,-13.86
0.08,0.24,-0.29,1.00,-6.08,1.97,-2.55
0.09,0.25,-0.29,1.01,-5.86,2.35,-10.05
0.10,0.24,-0.29,1.01,-6.20,2.38,-11.83
0.11,0.23,-0.29,1.01,-6.43,2.26,-10.26
0.12,0.24,-0.29,1.02,-6.47,1.45,-12.44
0.13,0.23,-0.29,1.02,-6.06,0.81,-15.04
0.14,0.23,-0.29,1.01,-6.72,1.24,-11.51
0.15,0.24,-0.28,1.01,-5.47,1.39,-15.16
0.16,0.24,-0.28,1.01,-6.17,0.78,-10.06
0.17,0.23,-0.27,1.00,-6.06,0.34,-0.11
0.18,0.24,-0.27,1.00,-6.67,-0.31,-6.81
0.19,0.24,-0.28,1.00,-7.05,-0.47,-11.56
0.20,0.24,-0.28,1.00,-6.93,-0.40,-12.90
0.21,0.24,-0.28,1.01,-7.22,-0.17,-15.04
0.22,0.24,-0.29,1.00,-6.55,0.75,-4.37
0.23,0.24,-0.28,1.00,-6.70,1.02,-11.21
0.24,0.24,-0.28,1.01,-6.55,0.58,-8.76
0.25,0.23,-0.29,1.01,-6.82,1.73,-14.37
0.26,0.23,-0.29,1.02,-6.46,0.70,-20.46
0.27,0.23,-0.29,1.01,-6.46,0.21,-3.56
0.28,0.24,-0.29,1.00,-5.97,0.73,-15.50
0.29,0.25,-0.29,1.00,-5.13,1.33,-14.35
0.30,0.25,-0.29,1.00,-5.73,2.17,-6.79
0.31,0.25,-0.28,1.00,-4.96,2.85,-7.83
0.32,0.26,-0.29,0.99,-5.47,3.47,-16.99
0.33,0.25,-0.29,0.99,-5.42,4.14,-11.79
0.34,0.23,-0.29,1.00,-5.11,4.40,-11.85
0.35,0.23,-0.29,0.99,-4.23,3.74,-12.70
0.36,0.23,-0.29,0.99,-4.44,3.76,-8.85
0.37,0.21,-0.28,0.98,-4.41,3.82,-19.39
0.38,0.21,-0.28,0.99,-4.87,3.56,-22.56
0.39,0.21,-0.28,0.99,-5.10,2.87,-13.86
0.40,0.21,-0.28,0.98,-5.86,3.18,-15.48
