time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00,0.17,-0.33,0.96,-1.22,-3.59,1.28
0.01,0.17,-0.34,0.96,1.01,-5.16,1.86
0.02,0.16,-0.33,0.97,3.77,-4.41,2.05
0.03,0.14,-0.34,0.97,6.02,-5.24,1.39
0.04,0.11,-0.34,0.97,6.85,-6.63,0.96
0.05,0.09,-0.34,0.97,6.43,-8.47,0.60
0.06,0.05,-0.34,0.97,6.60,-13.16,-0.49
0.07,0.03,-0.34,0.98,6.09,-19.02,-0.31
0.08,0.02,-0.33,0.98,5.76,-23.30,1.10
0.09,0.02,-0.32,0.96,5.24,-24.26,4.55
0.10,0.02,-0.31,0.96,5.88,-23.98,9.15
0.11,0.03,-0.32,0.97,6.05,-21.79,13.39
0.12,0.06,-0.33,0.97,6.81,-19.33,16.49
0.13,0.08,-0.33,0.97,9.21,-19.69,18.21
0.14,0.09,-0.36,0.97,10.50,-19.30,18.81
0.15,0.08,-0.36,0.97,13.33,-18.78,19.22
0.16,0.11,-0.37,0.95,14.34,-18.84,19.39
0.17,0.12,-0.38,0.95,13.98,-18.72,18.03
0.18,0.09,-0.40,0.95,14.96,-22.46,16.18
0.19,0.06,-0.41,0.96,16.44,-25.97,17.31
0.20,0.06,-0.40,0.96,17.07,-27.53,20.20
0.21,0.06,-0.37,0.94,16.44,-28.81,23.94
0.22,0.06,-0.32,0.91,13.88,-29.53,27.48
0.23,0.08,-0.31,0.89,12.32,-30.67,30.44
0.24,0.10,-0.29,0.89,10.56,-31.05,33.18
0.25,0.13,-0.29,0.88,9.76,-29.05,36.56
0.26,0.16,-0.31,0.90,12.98,-25.73,38.05
0.27,0.18,-0.34,0.93,14.34,-24.38,38.18
0.28,0.19,-0.35,0.93,15.60,-20.21,39.39
0.29,0.18,-0.38,0.92,18.52,-15.77,42.95
0.30,0.18,-0.39,0.94,21.51,-13.31,45.36
0.31,0.19,-0.39,0.91,21.97,-12.75,45.11
0.32,0.19,-0.36,0.90,20.58,-15.42,43.33
0.33,0.18,-0.35,0.90,20.21,-20.38,42.53
0.34,0.18,-0.32,0.89,17.65,-24.87,42.90
0.35,0.20,-0.30,0.87,17.33,-27.04,44.72
0.36,0.23,-0.30,0.87,16.66,-25.69,46.89
0.37,0.26,-0.31,0.89,18.15,-21.63,48.58
0.38,0.26,-0.35,0.89,20.31,-19.07,49.01
0.39,0.27,-0.37,0.89,22.40,-13.62,51.13
0.40,0.26,-0.39,0.89,24.37,-10.06,54.03
0.41,0.25,-0.41,0.91,27.86,-7.56,56.12
0.42,0.27,-0.40,0.91,30.21,-6.47,55.73
0.43,0.26,-0.38,0.91,30.41,-8.90,53.66
0.44,0.24,-0.34,0.88,28.56,-12.08,52.76
0.45,0.23,-0.32,0.87,26.76,-13.24,54.08
0.46,0.23,-0.31,0.87,24.43,-13.54,54.92
0.47,0.22,-0.31,0.88,23.02,-14.47,56.43
0.48,0.23,-0.33,0.88,22.81,-12.47,58.99
0.49,0.26,-0.35,0.88,23.71,-10.12,60.03
0.50,0.27,-0.36,0.91,25.48,-8.85,60.02
0.51,0.26,-0.36,0.92,26.96,-9.68,60.37
0.52,0.27,-0.37,0.90,28.55,-9.74,61.40
0.53,0.28,-0.36,0.89,28.95,-9.42,61.13
0.54,0.27,-0.35,0.86,27.65,-10.92,61.40
0.55,0.28,-0.32,0.85,25.76,-11.94,60.98
0.56,0.27,-0.32,0.84,22.47,-14.12,60.05
0.57,0.26,-0.30,0.85,18.47,-15.31,60.37
0.58,0.26,-0.30,0.85,16.95,-15.97,61.27
0.59,0.25,-0.32,0.86,17.91,-15.73,62.55
0.60,0.25,-0.31,0.89,20.53,-14.38,64.03
0.61,0.28,-0.33,0.89,21.76,-13.07,64.18
0.62,0.29,-0.33,0.88,22.31,-11.88,64.08
0.63,0.29,-0.32,0.87,22.11,-10.79,64.21
