time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00,0.06,-0.04,0.87,-3.63,0.52,-1.97
0.01,0.06,-0.04,0.86,-3.22,0.26,-2.63
0.02,0.06,-0.04,0.87,-2.08,1.11,-2.14
0.03,0.07,-0.04,0.87,-0.60,1.92,-2.69
0.04,0.08,-0.05,0.88,0.37,1.94,-2.56
0.05,0.07,-0.05,0.89,0.18,1.30,-2.50
0.06,0.08,-0.05,0.88,-0.23,0.95,-1.88
0.07,0.07,-0.05,0.87,-0.55,0.50,-1.92
0.08,0.07,-0.04,0.88,-1.51,1.33,-0.40
0.09,0.08,-0.03,0.86,-1.59,1.21,-0.47
0.10,0.07,-0.04,0.86,-1.95,1.82,-0.29
0.11,0.07,-0.05,0.87,-1.22,2.82,-0.06
0.12,0.05,-0.04,0.87,-2.32,1.65,1.71
0.13,0.07,-0.05,0.87,-2.41,1.83,1.83
0.14,0.07,-0.04,0.87,-1.82,1.36,-0.66
0.15,0.07,-0.05,0.87,-1.92,2.09,0.32
0.16,0.06,-0.04,0.87,-1.94,1.45,-0.43
0.17,0.05,-0.04,0.87,-1.88,0.98,-2.46
0.18,0.05,-0.04,0.87,-2.26,1.27,-2.67
0.19,0.06,-0.05,0.87,-1.42,2.24,-1.97
0.20,0.07,-0.05,0.88,-1.39,0.99,-1.88
0.21,0.07,-0.06,0.89,-1.53,0.87,-0.69
0.22,0.07,-0.05,0.88,-2.32,-0.56,-0.52
0.23,0.07,-0.05,0.87,-1.98,0.09,0.53
0.24,0.07,-0.05,0.86,-0.99,-0.03,-1.31
0.25,0.06,-0.04,0.86,-0.20,0.93,-1.76
0.26,0.06,-0.05,0.86,0.60,2.02,-1.39
0.27,0.07,-0.04,0.87,0.87,2.90,-0.64
0.28,0.08,-0.05,0.88,1.13,2.37,-0.67
0.29,0.07,-0.04,0.90,0.12,0.78,-0.03
0.30,0.06,-0.04,0.89,-1.91,-0.49,0.56
0.31,0.06,-0.04,0.86,-2.84,-1.39,0.21
0.32,0.07,-0.05,0.86,-1.51,0.18,0.17
0.33,0.06,-0.05,0.86,1.02,2.18,-2.34
0.34,0.06,-0.03,0.87,0.11,1.85,-3.19
0.35,0.07,-0.04,0.87,-0.79,1.62,-4.12
0.36,0.06,-0.06,0.87,0.24,2.70,-3.19
0.37,0.06,-0.04,0.88,0.31,2.09,-2.55
0.38,0.06,-0.05,0.88,-1.48,0.87,-3.13
0.39,0.06,-0.05,0.88,-1.42,0.08,-5.44
0.40,0.05,-0.05,0.87,0.09,0.63,-7.65
0.41,0.05,-0.05,0.87,0.82,0.75,-6.11
0.42,0.06,-0.04,0.87,1.24,0.81,-7.33
0.43,0.06,-0.03,0.87,0.73,0.27,-6.34
0.44,0.06,-0.04,0.87,0.90,0.72,-5.30
0.45,0.07,-0.04,0.88,0.82,0.34,-3.79
0.46,0.07,-0.04,0.88,0.26,0.32,-2.56
0.47,0.08,-0.04,0.89,-1.33,-0.84,-1.13
0.48,0.08,-0.04,0.88,-2.05,-0.63,-0.29
0.49,0.08,-0.05,0.86,-0.85,-0.09,0.44
0.50,0.07,-0.05,0.86,-0.31,1.04,-0.31
0.51,0.06,-0.03,0.86,0.46,2.44,-1.56
0.52,0.07,-0.03,0.87,0.12,2.61,0.05
0.53,0.07,-0.04,0.88,-0.67,2.66,1.11
0.54,0.05,-0.03,0.87,-1.66,1.51,-0.31
0.55,0.07,-0.04,0.87,-2.14,1.69,0.12
0.56,0.06,-0.04,0.88,-0.41,2.05,-1.07
0.57,0.05,-0.04,0.88,-0.40,1.74,-2.66
0.58,0.06,-0.05,0.87,-1.08,1.19,-1.69
0.59,0.07,-0.04,0.88,0.46,1.54,-1.97
0.60,0.06,-0.04,0.87,-0.02,0.73,-1.07
0.61,0.06,-0.04,0.88,-0.06,0.61,-0.85
0.62,0.06,-0.04,0.88,-0.87,0.17,-0.87
0.63,0.05,-0.04,0.86,-0.38,0.52,-1.50
0.64,0.06,-0.03,0.88,-0.17,1.45,-1.71
0.65,0.06,-0.04,0.86,-0.14,1.62,-2.23
0.66,0.07,-0.04,0.87,-0.27,2.60,-1.37
0.67,0.07,-0.05,0.88,-0.52,2.52,-0.73
0.68,0.08,-0.04,0.88,-0.23,2.47,-0.06
0.69,0.06,-0.03,0.88,-1.47,1.63,0.99
0.70,0.07,-0.04,0.88,-3.05,0.99,2.56
0.71,0.06,-0.03,0.88,-3.47,0.95,2.95
0.72,0.07,-0.04,0.87,-3.39,0.84,2.63
0.73,0.06,-0.04,0.87,-3.15,0.06,2.03
0.74,0.07,-0.03,0.87,-3.39,-0.58,0.44
0.75,0.07,-0.04,0.87,-3.68,-1.01,0.15
0.76,0.07,-0.04,0.86,-3.37,-0.03,0.61
0.77,0.08,-0.05,0.88,-1.31,1.25,-0.81
0.78,0.07,-0.03,0.87,-1.19,1.08,-1.45
0.79,0.08,-0.04,0.87,-1.54,1.08,-1.47
0.80,0.06,-0.05,0.87,-1.22,1.57,-1.04
0.81,0.05,-0.04,0.88,-1.24,1.18,-0.75
0.82,0.06,-0.04,0.88,-1.62,1.53,-0.99
0.83,0.06,-0.04,0.87,-2.35,0.55,-1.21
0.84,0.07,-0.04,0.87,-2.38,0.60,0.44
0.85,0.05,-0.04,0.87,-2.50,0.64,0.14
0.86,0.06,-0.04,0.88,-2.14,0.40,1.36
0.87,0.06,-0.04,0.88,-1.63,0.02,1.04
0.88,0.08,-0.04,0.88,-2.46,-0.90,-0.21
0.89,0.07,-0.04,0.87,-1.86,0.11,0.41
0.90,0.06,-0.04,0.87,-2.12,0.03,0.44
0.91,0.05,-0.04,0.87,-1.77,1.31,1.07
0.92,0.06,-0.04,0.87,-1.27,1.05,-0.35
0.93,0.07,-0.04,0.88,-1.10,0.78,-0.92
0.94,0.06,-0.05,0.87,-0.81,1.10,-0.67
0.95,0.06,-0.04,0.88,-0.89,1.13,-0.81
0.96,0.06,-0.04,0.88,-1.44,0.75,0.41
0.97,0.06,-0.04,0.88,-2.09,-0.26,-0.50
0.98,0.07,-0.04,0.87,-1.73,0.44,-0.99
0.99,0.06,-0.04,0.87,-2.05,-0.21,-1.48
1.00,0.07,-0.04,0.87,-1.47,1.31,-0.95
1.01,0.07,-0.05,0.86,-0.93,1.13,-1.36
1.02,0.07,-0.04,0.88,-0.89,1.15,-1.69
1.03,0.07,-0.04,0.87,-2.09,0.73,-1.15
1.04,0.07,-0.05,0.89,-2.29,0.75,1.53
1.05,0.07,-0.05,0.88,-2.75,0.37,1.33
1.06,0.07,-0.05,0.88,-2.43,0.40,1.66
1.07,0.08,-0.05,0.86,-1.57,0.58,1.11
1.08,0.07,-0.04,0.86,-0.98,0.98,0.14
1.09,0.05,-0.04,0.86,-0.84,1.08,-0.27
1.10,0.06,-0.05,0.87,-0.52,1.40,-0.35
1.11,0.07,-0.04,0.88,-1.56,0.95,-1.83
1.12,0.07,-0.05,0.87,-1.91,0.87,-1.57
1.13,0.07,-0.05,0.88,-1.45,0.98,-0.70
1.14,0.07,-0.05,0.87,-0.40,1.04,-0.92
1.15,0.07,-0.04,0.89,-0.87,0.75,0.24
1.16,0.07,-0.05,0.88,-1.57,0.15,1.18
1.17,0.07,-0.04,0.88,-2.53,-0.02,1.57
1.18,0.07,-0.05,0.87,-2.60,0.52,2.49
1.19,0.06,-0.04,0.86,-2.47,0.89,1.68
1.20,0.07,-0.04,0.86,-2.17,1.11,0.56
1.21,0.07,-0.05,0.85,-1.63,2.15,0.12
1.22,0.06,-0.05,0.86,-0.21,3.08,-1.62
1.23,0.05,-0.05,0.87,0.82,3.86,-3.25
1.24,0.07,-0.05,0.87,2.26,4.58,-3.92
1.25,0.07,-0.05,0.88,2.31,4.67,-4.95
1.26,0.06,-0.05,0.88,2.93,4.82,-5.33
1.27,0.06,-0.04,0.88,2.84,3.07,-7.34
1.28,0.05,-0.04,0.87,2.20,2.90,-3.95
1.29,0.05,-0.03,0.89,0.00,1.34,-3.42
1.30,0.05,-0.04,0.88,-1.82,0.21,-1.66
1.31,0.06,-0.04,0.87,-2.63,0.08,0.31
1.32,0.06,-0.04,0.87,-2.79,-0.53,1.04
1.33,0.06,-0.05,0.87,-3.24,-0.26,1.45
1.34,0.07,-0.05,0.87,-3.18,-0.78,1.56
1.35,0.07,-0.04,0.86,-1.73,0.38,0.34
1.36,0.06,-0.04,0.86,-1.16,0.47,-0.73
1.37,0.06,-0.04,0.86,-1.82,0.69,-1.69
1.38,0.06,-0.05,0.87,-0.43,1.40,-0.82
1.39,0.07,-0.04,0.88,0.44,1.19,-1.15
1.40,0.06,-0.04,0.88,0.17,1.69,-1.63
