time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00,0.07,-0.18,1.03,-6.27,-1.18,-14.53
0.02,0.08,-0.19,1.04,-5.53,-1.33,-12.56
0.03,0.08,-0.18,1.04,-5.16,-0.70,-8.21
0.04,0.08,-0.18,1.04,-4.61,-0.90,-2.82
0.05,0.08,-0.18,1.03,-5.07,-0.56,-3.76
0.06,0.08,-0.19,1.03,-5.83,-0.27,-6.00
0.07,0.08,-0.18,1.03,-5.42,-0.23,-13.60
0.08,0.08,-0.18,1.04,-5.63,0.50,-15.13
0.09,0.08,-0.18,1.03,-5.51,0.55,-7.86
0.10,0.07,-0.18,1.03,-5.91,0.46,-16.98
0.11,0.07,-0.19,1.04,-5.60,0.23,-3.77
0.12,0.08,-0.18,1.03,-5.25,0.75,4.41
0.13,0.07,-0.19,1.03,-5.18,0.09,-13.62
0.14,0.07,-0.18,1.03,-5.76,-0.09,1.53
0.15,0.07,-0.18,1.04,-4.78,-0.32,-17.73
0.16,0.07,-0.18,1.04,-5.01,-0.32,-10.60
0.17,0.08,-0.18,1.03,-5.01,-0.11,-13.77
0.18,0.07,-0.19,1.03,-4.95,-0.47,-14.15
0.19,0.07,-0.18,1.03,-4.49,0.14,-0.50
0.20,0.07,-0.18,1.03,-4.63,0.26,-14.02
0.21,0.07,-0.18,1.02,-5.34,0.15,-7.39
0.22,0.07,-0.18,1.03,-4.90,-0.06,-11.56
0.23,0.07,-0.18,1.03,-5.62,0.26,-9.69
0.24,0.07,-0.19,1.03,-5.01,-0.75,-7.80
0.25,0.07,-0.18,1.03,-5.21,-0.55,-3.45
0.26,0.08,-0.19,1.02,-6.09,-0.67,-9.89
0.27,0.08,-0.18,1.03,-5.48,-0.89,0.12
0.28,0.07,-0.17,1.03,-5.42,-0.11,-5.27
0.29,0.08,-0.18,1.02,-5.88,0.18,-11.80
0.30,0.07,-0.19,1.03,-6.66,0.37,-14.58
0.31,0.06,-0.18,1.03,-6.35,-0.06,-7.65
0.32,0.07,-0.18,1.04,-6.12,-0.31,1.01
0.33,0.07,-0.19,1.04,-6.40,-0.75,-14.90
0.34,0.07,-0.18,1.04,-5.91,-0.85,-16.58
0.35,0.07,-0.19,1.04,-5.53,-0.47,-12.32
0.36,0.07,-0.18,1.03,-5.74,-0.38,-14.02
0.37,0.07,-0.19,1.03,-5.95,-0.11,-13.39
0.38,0.07,-0.19,1.03,-4.84,-0.12,1.22
0.39,0.08,-0.18,1.03,-5.57,1.97,-8.87
0.40,0.06,-0.18,1.03,-5.16,2.84,-5.97
0.41,0.06,-0.18,1.04,-5.31,-1.59,-21.91
0.42,0.06,-0.19,1.03,-5.11,0.17,-16.72
0.43,0.06,-0.18,1.04,-5.79,-0.78,7.05
0.44,0.08,-0.18,1.03,-5.60,-0.38,-7.88
0.45,0.08,-0.18,1.03,-4.99,-1.08,3.74
0.46,0.07,-0.19,1.04,-4.43,-0.44,-22.50
0.47,0.07,-0.18,1.04,-5.60,-0.93,-11.39
