time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00,0.28,-0.27,0.90,0.58,1.50,-0.29
0.01,0.29,-0.27,0.89,-0.56,0.24,-1.44
0.02,0.29,-0.27,0.90,-1.37,-1.69,-2.55
0.03,0.30,-0.27,0.89,-1.69,-2.40,-3.56
0.04,0.30,-0.28,0.90,-1.50,-3.83,-4.99
0.05,0.29,-0.27,0.90,-1.45,-5.02,-5.71
0.06,0.30,-0.27,0.89,-1.15,-6.84,-5.42
0.07,0.31,-0.29,0.92,2.26,1.27,-4.03
0.08,0.29,-0.27,0.90,-0.58,-2.87,-3.51
0.09,0.28,-0.27,0.91,1.86,-1.08,-2.95
0.10,0.28,-0.28,0.91,2.41,-2.00,-2.93
0.11,0.30,-0.27,0.90,2.21,-1.91,-2.81
0.12,0.29,-0.26,0.89,1.82,-0.90,-2.46
0.13,0.29,-0.27,0.89,2.06,-0.98,-2.32
0.14,0.29,-0.27,0.89,1.97,-1.50,-3.10
0.15,0.30,-0.27,0.89,1.53,-2.12,-3.30
0.16,0.29,-0.27,0.89,0.53,-1.57,-2.90
0.17,0.30,-0.26,0.88,0.27,-1.11,-2.09
0.18,0.30,-0.27,0.88,0.14,-0.03,-1.07
0.19,0.29,-0.28,0.89,0.96,2.15,0.43
0.20,0.30,-0.27,0.90,1.60,2.76,1.02
0.21,0.30,-0.27,0.90,2.26,3.16,1.39
0.22,0.30,-0.27,0.89,1.56,2.27,0.21
0.23,0.31,-0.26,0.89,0.53,1.02,-0.87
0.24,0.31,-0.27,0.90,-0.09,0.93,-1.65
0.25,0.31,-0.27,0.90,-0.21,0.70,-2.05
0.26,0.30,-0.28,0.91,0.11,1.05,-2.06
0.27,0.31,-0.28,0.91,1.18,1.45,-2.08
0.28,0.31,-0.29,0.90,2.79,2.24,-1.66
0.29,0.31,-0.28,0.89,2.96,2.78,-1.50
0.30,0.30,-0.27,0.89,2.69,2.92,-1.33
0.31,0.30,-0.26,0.88,1.82,2.50,-1.56
0.32,0.30,-0.27,0.90,1.05,2.11,-1.94
0.33,0.30,-0.27,0.88,0.27,1.63,-2.14
0.34,0.29,-0.26,0.90,-0.18,0.95,-2.11
0.35,0.29,-0.27,0.89,-0.31,0.31,-2.17
0.36,0.30,-0.27,0.90,-0.81,0.35,-1.82
0.37,0.29,-0.27,0.89,-0.23,0.75,-1.02
0.38,0.29,-0.27,0.90,0.29,1.13,-0.23
0.39,0.29,-0.28,0.89,0.56,1.71,0.03
0.40,0.31,-0.27,0.89,1.24,2.44,0.18
0.41,0.31,-0.27,0.90,1.37,2.98,-0.37
0.42,0.30,-0.28,0.89,1.33,2.11,-1.24
0.43,0.31,-0.27,0.89,0.87,1.36,-2.05
