time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00,-0.05,-0.03,0.86,-1.68,-6.69,-1.10
0.01,-0.05,-0.03,0.85,-1.74,-4.96,-0.40
0.02,-0.04,-0.03,0.86,-1.73,-2.15,0.72
0.03,-0.04,-0.02,0.85,-2.67,1.51,1.39
0.04,-0.05,-0.02,0.85,-3.88,2.55,1.40
0.05,-0.07,-0.02,0.85,-4.37,1.63,1.40
0.06,-0.07,-0.02,0.86,-5.16,1.01,1.65
0.07,-0.09,-0.04,0.87,-4.67,-1.77,0.67
0.08,-0.08,-0.05,0.89,-3.40,-3.74,0.20
0.09,-0.07,-0.05,0.89,-2.75,-4.55,-0.21
0.10,-0.06,-0.06,0.89,-1.65,-4.79,-0.26
0.11,-0.06,-0.05,0.88,-1.42,-4.70,-0.60
0.12,-0.05,-0.05,0.90,-1.31,-3.63,-0.47
0.13,-0.05,-0.04,0.89,-1.10,-2.06,0.79
0.14,-0.04,-0.04,0.89,-1.54,-1.98,1.60
0.15,-0.03,-0.04,0.88,-0.84,-0.20,1.91
0.16,-0.05,-0.03,0.88,-0.76,-0.18,1.62
0.17,-0.05,-0.04,0.89,-0.41,-2.34,1.42
0.18,-0.04,-0.03,0.88,0.03,-3.34,0.90
0.19,-0.03,-0.03,0.89,-1.37,-2.11,0.32
0.20,-0.04,-0.02,0.88,-2.24,-3.07,0.27
0.21,-0.03,-0.03,0.88,-1.22,-3.15,0.64
0.22,-0.03,-0.05,0.90,0.79,-3.54,-0.14
0.23,-0.04,-0.04,0.88,1.42,-3.63,-0.53
0.24,-0.03,-0.03,0.87,1.13,-3.13,0.49
0.25,-0.06,-0.01,0.86,-1.18,-4.84,1.31
0.26,-0.04,-0.01,0.85,-1.51,-5.92,2.96
0.27,-0.02,-0.02,0.86,-1.74,-5.56,2.63
0.28,-0.02,-0.02,0.85,-2.64,-3.50,2.26
0.29,-0.02,-0.03,0.85,-2.63,-4.40,3.42
0.30,-0.01,-0.03,0.85,-1.50,-1.47,1.69
0.31,0.01,-0.02,0.86,-1.65,2.96,-0.90
0.32,-0.03,-0.03,0.86,-1.69,3.22,-1.95
0.33,-0.06,-0.03,0.87,-1.85,0.82,-2.49
0.34,-0.06,-0.03,0.87,-0.89,-2.38,-2.93
0.35,-0.05,-0.04,0.86,-0.55,-3.74,-3.10
0.36,-0.06,-0.03,0.87,-1.50,-6.67,-1.42
0.37,-0.04,-0.06,0.87,-1.18,-5.47,-1.07
0.38,-0.05,-0.04,0.86,-1.92,-4.20,-0.17
0.39,-0.06,-0.04,0.85,-2.34,-7.44,3.92
0.40,-0.05,-0.02,0.87,-5.65,-8.11,6.00
0.41,-0.01,-0.04,0.87,-3.59,-6.84,6.35
0.42,-0.01,-0.04,0.86,-3.45,-4.72,4.79
0.43,-0.02,-0.04,0.86,-2.05,-3.85,3.18
0.44,-0.03,-0.03,0.86,-1.15,-2.58,1.39
0.45,-0.04,-0.04,0.84,-1.28,0.76,-1.63
0.46,-0.03,-0.05,0.84,-0.89,-5.45,-0.32
0.47,-0.01,-0.03,0.85,-0.46,-5.76,-1.22
0.48,-0.01,-0.03,0.86,-1.66,-2.61,-1.62
0.49,-0.02,-0.03,0.85,-3.11,0.81,-1.37
0.50,-0.01,-0.04,0.87,-3.16,2.82,-2.20
0.51,-0.00,-0.05,0.87,-1.16,3.82,-3.13
0.52,-0.02,-0.04,0.87,-1.98,4.73,-3.24
0.53,-0.04,-0.05,0.88,-1.31,2.26,-2.09
0.54,-0.03,-0.05,0.87,-0.11,0.17,-0.95
0.55,-0.02,-0.04,0.87,0.47,-0.87,-2.15
0.56,-0.02,-0.03,0.86,0.79,-0.67,-2.08
0.57,-0.02,-0.03,0.85,0.52,-0.37,-1.59
0.58,-0.02,-0.03,0.86,-0.52,0.64,-0.98
0.59,-0.01,-0.03,0.86,-1.47,3.57,-0.49
0.60,-0.02,-0.03,0.85,-1.68,3.60,-0.26
0.61,-0.03,-0.04,0.87,-1.21,3.53,-0.53
0.62,-0.02,-0.05,0.87,-0.47,5.28,-0.20
0.63,-0.03,-0.04,0.87,0.55,4.44,0.20
0.64,-0.04,-0.06,0.86,1.37,2.58,-0.34
0.65,-0.05,-0.04,0.86,1.39,0.24,-0.06
0.66,-0.03,-0.04,0.87,1.92,-1.57,-0.08
0.67,-0.03,-0.04,0.88,2.35,-2.43,-0.24
0.68,-0.01,-0.03,0.88,2.44,-3.19,-0.53
0.69,-0.01,-0.03,0.86,2.05,-1.10,-0.73
