time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00,-0.08,-0.22,1.00,-5.91,-0.26,-15.18
0.02,-0.10,-0.23,1.00,-6.11,-0.26,-15.74
0.03,-0.10,-0.23,1.00,-5.94,-0.87,-4.63
0.04,-0.10,-0.23,1.00,-5.92,-0.47,2.29
0.05,-0.10,-0.22,1.00,-6.27,0.20,-6.96
0.06,-0.11,-0.22,1.00,-6.72,0.24,-25.92
0.07,-0.12,-0.22,1.01,-7.24,0.02,-2.44
0.08,-0.13,-0.24,1.00,-6.15,-0.98,-14.23
0.09,-0.12,-0.24,1.00,-6.76,-2.24,-2.20
0.10,-0.12,-0.23,1.00,-6.02,-1.83,-19.68
0.11,-0.11,-0.23,1.00,-7.19,-1.25,-12.53
0.12,-0.11,-0.23,1.00,-7.39,-1.11,-13.37
0.13,-0.09,-0.23,1.00,-8.23,-0.46,-4.46
0.14,-0.10,-0.22,1.00,-7.25,0.41,-16.72
0.15,-0.12,-0.23,1.00,-7.89,0.37,-1.07
0.16,-0.11,-0.24,1.02,-7.02,-0.69,-5.60
0.17,-0.11,-0.25,1.02,-6.40,-0.60,-8.29
0.18,-0.10,-0.24,1.01,-5.83,0.34,-9.22
0.19,-0.11,-0.23,1.00,-6.38,0.96,-6.81
0.20,-0.11,-0.24,1.00,-6.40,0.37,-3.56
0.21,-0.10,-0.24,1.01,-5.30,0.72,-6.15
0.22,-0.11,-0.24,1.01,-5.51,1.18,-15.28
0.23,-0.10,-0.24,1.01,-5.36,0.92,-6.64
0.24,-0.11,-0.23,1.01,-6.09,0.02,-15.47
0.25,-0.10,-0.24,1.00,-5.88,0.37,-7.02
0.26,-0.09,-0.23,0.99,-6.27,0.78,-9.39
0.27,-0.11,-0.22,0.99,-7.53,0.89,-0.21
0.28,-0.10,-0.22,0.99,-7.19,0.49,0.53
0.29,-0.11,-0.23,1.00,-6.89,0.92,-6.96
0.30,-0.11,-0.22,1.00,-7.28,1.56,-17.98
0.31,-0.12,-0.23,1.00,-8.55,1.04,1.25
0.32,-0.13,-0.24,1.02,-7.66,-0.55,-3.31
0.33,-0.11,-0.24,1.02,-7.28,-1.11,-14.75
0.34,-0.11,-0.24,1.02,-6.15,-0.79,-15.19
0.35,-0.10,-0.24,1.03,-5.21,-0.72,-8.52
0.36,-0.11,-0.23,1.03,-4.20,-0.24,-4.56
0.37,-0.11,-0.23,1.02,-5.22,0.26,-6.89
0.38,-0.11,-0.23,1.00,-4.61,2.09,0.31
0.39,-0.11,-0.24,1.02,-4.92,2.09,7.77
0.40,-0.12,-0.23,1.02,-4.76,1.27,-5.97
0.41,-0.11,-0.24,1.02,-4.26,1.95,-3.89
0.42,-0.12,-0.24,1.01,-4.60,1.18,-17.42
0.43,-0.12,-0.24,1.01,-3.57,2.06,-2.11
0.44,-0.12,-0.24,1.00,-4.12,2.17,-3.40
0.45,-0.13,-0.23,1.00,-4.29,1.56,-2.02
0.46,-0.12,-0.23,1.00,-4.85,1.18,-19.27
0.47,-0.11,-0.23,1.00,-4.20,1.57,-5.30
0.48,-0.11,-0.23,1.00,-4.81,1.66,-14.96
0.49,-0.12,-0.23,1.01,-4.60,1.01,0.78
0.50,-0.12,-0.24,1.00,-5.27,0.76,-3.97
0.51,-0.12,-0.24,1.00,-4.96,0.64,-6.92
0.52,-0.12,-0.23,1.00,-4.66,0.73,1.97
0.53,-0.11,-0.23,0.99,-5.04,0.78,-0.43
0.54,-0.11,-0.23,1.00,-5.74,0.15,-2.79
0.55,-0.11,-0.23,1.00,-5.86,-0.44,-0.78
0.56,-0.11,-0.23,1.00,-5.60,-0.67,-4.31
0.57,-0.11,-0.23,0.99,-6.58,-0.40,6.29
0.58,-0.11,-0.23,1.00,-7.13,-1.73,-7.85
0.59,-0.12,-0.24,1.00,-7.33,-2.37,-11.31
0.60,-0.12,-0.24,1.02,-5.88,-3.13,-10.60
0.61,-0.12,-0.23,1.02,-5.91,-3.45,0.02
0.62,-0.11,-0.24,1.02,-6.00,-4.17,-0.85
0.63,-0.09,-0.24,1.02,-5.95,-4.56,-6.60
0.64,-0.09,-0.24,1.02,-6.35,-4.08,-8.50
0.65,-0.08,-0.24,1.03,-6.24,-3.69,1.89
0.66,-0.07,-0.25,1.03,-6.43,-3.85,-13.02
0.67,-0.07,-0.25,1.05,-5.77,-3.65,-5.25
0.68,-0.07,-0.25,1.04,-5.33,-3.37,-3.33
0.69,-0.05,-0.25,1.03,-5.01,-3.15,-1.40
0.70,-0.05,-0.25,1.03,-3.63,-3.36,1.33
0.71,-0.04,-0.23,1.03,-4.11,-2.37,0.53
0.72,-0.03,-0.23,1.02,-3.86,-1.25,-14.32
0.73,-0.03,-0.23,1.03,-4.00,-1.10,-16.92
0.74,-0.02,-0.24,1.03,-3.83,-1.86,4.99
0.75,-0.03,-0.22,1.02,-3.92,-2.53,4.47
0.76,-0.03,-0.22,1.01,-4.37,-2.73,-4.31
0.77,-0.04,-0.21,1.00,-4.99,-3.53,-11.13
0.78,-0.05,-0.20,1.00,-7.04,-3.56,-4.81
0.79,-0.05,-0.22,1.01,-7.62,-4.85,-11.18
0.80,-0.04,-0.22,1.03,-6.82,-2.92,-15.57
0.81,-0.05,-0.23,1.03,-6.29,-7.11,-13.92
0.82,-0.06,-0.23,1.03,-5.07,-10.66,-7.59
0.83,-0.04,-0.22,1.03,-4.70,-12.08,-18.66
0.84,-0.02,-0.21,1.03,-4.76,-12.67,-0.55
0.85,-0.02,-0.20,1.03,-3.97,-13.27,-12.21
0.86,-0.01,-0.19,1.02,-4.06,-14.63,4.70
0.87,-0.00,-0.19,1.02,-2.75,-15.10,-2.08
0.88,0.00,-0.19,1.03,-1.88,-17.01,1.48
0.89,0.01,-0.20,1.02,0.27,-20.14,-3.24
0.90,0.04,-0.19,1.03,-0.44,-21.33,4.81
0.91,0.07,-0.19,1.04,-2.29,-18.21,-5.36
0.92,0.08,-0.20,1.04,-2.67,-16.52,2.72
0.93,0.09,-0.21,1.04,-3.21,-13.57,-10.17
0.94,0.09,-0.22,1.06,-2.40,-11.47,-9.13
0.95,0.08,-0.21,1.06,-2.11,-8.24,-12.95
0.96,0.09,-0.21,1.03,0.87,-6.76,-0.99
0.97,0.06,-0.19,1.01,-1.47,-4.38,-0.67
0.98,0.04,-0.19,1.01,-0.31,-8.15,-3.86
0.99,0.05,-0.19,1.00,-2.76,-9.45,-18.56
1.00,0.06,-0.18,1.01,-2.93,-10.24,-8.61
1.01,0.07,-0.19,1.01,-4.23,-10.79,-14.52
1.02,0.07,-0.20,1.03,-3.10,-10.61,0.76
1.03,0.08,-0.21,1.03,-3.37,-10.63,-9.50
1.04,0.10,-0.22,1.02,0.76,-10.72,-7.50
1.05,0.14,-0.22,1.01,-2.27,-12.18,-2.53
1.06,0.15,-0.21,1.00,-5.16,-9.57,-19.18
1.07,0.14,-0.18,0.99,-7.60,-5.82,-15.34
1.08,0.12,-0.16,0.99,-9.48,-4.43,-25.47
1.09,0.11,-0.16,0.99,-11.28,-5.94,-19.57
1.10,0.13,-0.16,1.01,-12.52,-5.28,-11.27
1.11,0.17,-0.17,1.00,-13.34,-1.15,-16.46
1.12,0.17,-0.19,1.03,-10.35,5.31,-22.75
1.13,0.16,-0.19,1.04,-12.12,5.56,-13.05
1.14,0.13,-0.19,1.05,-10.32,4.06,-25.02
1.15,0.13,-0.20,1.07,-8.60,2.50,-3.69
1.16,0.12,-0.22,1.09,-6.14,-0.60,-18.90
1.17,0.15,-0.23,1.10,-6.06,-3.47,-12.00
1.18,0.14,-0.24,1.15,-3.19,-7.30,-35.28
1.19,0.14,-0.22,1.11,-0.67,-9.42,-26.61
1.20,0.13,-0.20,1.09,0.56,-8.40,-22.96
1.21,0.12,-0.18,1.06,1.22,-6.95,-40.18
1.22,0.12,-0.16,1.02,1.88,-8.67,-18.41
1.23,0.16,-0.17,0.97,7.62,-9.27,-23.11
1.24,0.15,-0.11,0.99,2.06,-8.61,-27.08
1.25,0.16,-0.13,0.98,0.03,-10.14,-19.56
1.26,0.12,-0.17,1.02,0.73,-14.82,-36.52
1.27,0.08,-0.22,1.07,1.28,-21.40,-31.73
1.28,0.09,-0.23,1.11,4.26,-24.99,-23.53
1.29,0.13,-0.23,1.11,7.85,-23.07,-21.57
1.30,0.15,-0.21,1.10,8.58,-17.25,-20.05
1.31,0.14,-0.18,1.06,10.05,-13.30,-17.21
1.32,0.15,-0.13,1.04,8.46,-10.85,-18.87
1.33,0.16,-0.12,1.01,17.04,-11.37,-20.66
1.34,0.18,-0.11,0.97,6.73,-9.21,-8.93
1.35,0.15,-0.10,0.99,6.87,-15.18,-8.85
1.36,0.19,-0.08,0.98,0.63,-12.52,-19.04
1.37,0.20,-0.10,1.02,-1.27,-4.20,-8.31
1.38,0.15,-0.19,1.08,-7.47,-11.18,-15.13
1.39,0.13,-0.21,1.12,-6.34,-11.76,-18.14
1.40,0.13,-0.26,1.16,-2.46,-13.25,-5.13
1.41,0.16,-0.28,1.17,5.57,-14.95,-25.15
1.42,0.17,-0.25,1.13,6.93,-14.60,-30.14
1.43,0.16,-0.21,1.07,3.40,-12.92,-27.25
1.44,0.15,-0.18,1.04,-0.52,-10.18,-28.41
1.45,0.13,-0.20,1.04,-5.04,-6.47,-32.85
1.46,0.15,-0.22,1.04,-10.17,1.77,-36.75
1.47,0.08,-0.26,1.12,-6.35,2.02,-35.40
1.48,0.03,-0.26,1.12,-3.40,5.11,-45.13
1.49,-0.01,-0.25,1.12,0.69,5.60,-36.85
1.50,-0.03,-0.21,1.09,2.70,3.53,-30.08
1.51,-0.03,-0.19,1.01,4.60,2.37,-28.87
1.52,0.00,-0.15,0.97,4.06,3.18,-27.33
1.53,0.05,-0.12,0.90,1.59,10.41,-16.90
1.54,0.06,-0.07,0.84,-5.39,12.02,-33.31
1.55,0.07,-0.05,0.82,-13.47,14.72,-42.08
1.56,0.06,-0.06,0.86,-21.18,20.29,-37.76
1.57,0.00,-0.14,0.95,-23.16,22.26,-51.04
1.58,-0.01,-0.23,1.00,-24.58,34.11,-44.73
1.59,-0.05,-0.32,1.11,-18.87,41.95,-53.54
1.60,-0.11,-0.34,1.14,-12.89,44.66,-40.61
1.61,-0.18,-0.35,1.09,-10.75,43.05,-54.44
1.62,-0.28,-0.28,1.04,-9.92,35.08,-58.09
1.63,-0.34,-0.23,0.96,-12.05,28.03,-52.75
1.64,-0.36,-0.18,0.90,-17.21,20.35,-48.73
1.65,-0.37,-0.19,0.86,-20.50,7.13,-57.95
