time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00,0.33,-0.25,0.88,-4.95,10.11,-9.30
0.01,0.31,-0.26,0.92,-4.11,10.27,-8.32
0.02,0.31,-0.26,0.92,-3.36,10.49,-8.41
0.03,0.30,-0.27,0.92,-3.25,9.65,-9.73
0.04,0.30,-0.26,0.91,-3.22,7.69,-11.01
0.05,0.30,-0.25,0.92,-4.34,5.95,-11.65
0.06,0.28,-0.26,0.93,-3.27,4.29,-11.71
0.07,0.27,-0.26,0.93,-1.53,3.59,-10.79
0.08,0.27,-0.25,0.93,-0.66,3.79,-10.14
0.09,0.27,-0.24,0.91,-0.35,3.71,-9.71
0.10,0.26,-0.24,0.91,0.46,3.80,-9.47
0.11,0.26,-0.24,0.90,-1.05,3.56,-10.46
0.12,0.26,-0.24,0.91,-1.53,3.21,-9.47
0.13,0.25,-0.25,0.93,-0.73,3.28,-7.86
0.14,0.26,-0.25,0.93,-0.18,4.40,-7.11
0.15,0.27,-0.26,0.92,-0.87,4.11,-8.21
0.16,0.25,-0.26,0.92,-2.12,2.18,-9.04
0.17,0.24,-0.25,0.94,-1.76,0.35,-8.06
0.18,0.24,-0.26,0.93,-0.46,-0.06,-6.93
0.19,0.25,-0.25,0.92,-0.15,-0.40,-6.89
0.20,0.25,-0.24,0.90,-0.23,-0.90,-6.63
0.21,0.26,-0.25,0.91,-1.10,-2.47,-7.08
0.22,0.27,-0.25,0.90,-0.31,-2.44,-7.04
0.23,0.26,-0.26,0.91,-0.20,-1.77,-6.53
0.24,0.24,-0.27,0.93,0.31,-2.00,-4.75
0.25,0.22,-0.28,0.94,2.67,-2.49,-3.01
0.26,0.21,-0.27,0.94,3.13,-3.98,-2.43
0.27,0.22,-0.25,0.94,4.32,-6.11,-2.72
0.28,0.22,-0.24,0.93,4.50,-8.41,-3.60
0.29,0.24,-0.24,0.91,5.27,-8.47,-4.09
0.30,0.25,-0.23,0.89,4.56,-7.10,-3.86
0.31,0.25,-0.24,0.88,4.14,-5.05,-3.85
0.32,0.26,-0.24,0.88,3.18,-4.32,-4.37
0.33,0.25,-0.25,0.88,1.01,-3.53,-5.16
0.34,0.25,-0.24,0.88,-0.12,-4.12,-4.75
0.35,0.24,-0.26,0.89,0.37,-5.48,-4.09
0.36,0.24,-0.25,0.89,0.35,-7.21,-3.60
0.37,0.25,-0.26,0.89,1.48,-6.12,-2.93
0.38,0.26,-0.25,0.89,2.27,-7.11,-1.21
0.39,0.25,-0.25,0.90,3.16,-4.34,-0.14
0.40,0.27,-0.23,0.89,2.73,-1.60,1.53
0.41,0.27,-0.23,0.88,1.01,-1.60,1.69
0.42,0.28,-0.24,0.87,0.76,-2.02,2.08
0.43,0.29,-0.24,0.88,-0.44,-0.37,2.31
0.44,0.30,-0.25,0.88,-0.81,-3.04,1.53
0.45,0.31,-0.27,0.91,0.64,-1.22,1.40
0.46,0.30,-0.26,0.92,1.19,-1.53,1.33
0.47,0.30,-0.26,0.92,2.09,-2.73,0.63
0.48,0.31,-0.25,0.91,1.39,-0.34,0.09
0.49,0.29,-0.24,0.92,1.74,-0.69,0.17
0.50,0.30,-0.25,0.90,2.58,-0.52,0.32
0.51,0.32,-0.24,0.89,2.14,0.50,0.02
0.52,0.33,-0.24,0.89,0.41,1.83,-0.82
0.53,0.32,-0.24,0.88,-0.55,3.54,-0.31
0.54,0.33,-0.26,0.90,1.33,5.08,-0.27
0.55,0.33,-0.25,0.91,2.66,3.86,-0.55
0.56,0.33,-0.25,0.92,3.59,3.28,-1.47
0.57,0.33,-0.23,0.90,4.40,3.89,-1.44
0.58,0.33,-0.22,0.90,3.33,5.27,-1.10
0.59,0.32,-0.22,0.88,2.37,6.23,-0.44
0.60,0.32,-0.22,0.89,1.37,6.20,-1.08
0.61,0.32,-0.22,0.90,0.78,5.86,-1.73
0.62,0.33,-0.22,0.90,0.15,6.55,-2.40
0.63,0.32,-0.23,0.90,-0.56,6.46,-2.60
0.64,0.33,-0.23,0.89,-0.14,6.89,-2.58
0.65,0.35,-0.23,0.89,-0.76,8.55,-3.28
0.66,0.34,-0.23,0.90,-0.40,6.35,-4.46
0.67,0.34,-0.23,0.90,-0.29,7.54,-4.20
0.68,0.35,-0.24,0.90,0.14,9.05,-3.66
0.69,0.37,-0.24,0.90,1.24,10.85,-4.29
0.70,0.36,-0.24,0.91,1.08,11.80,-5.50
0.71,0.36,-0.22,0.88,1.07,11.47,-5.40
0.72,0.39,-0.22,0.87,0.00,12.15,-6.00
0.73,0.40,-0.22,0.86,-3.44,12.32,-7.47
0.74,0.40,-0.23,0.86,-4.96,11.97,-8.85
0.75,0.41,-0.24,0.88,-6.09,13.44,-10.00
0.76,0.41,-0.23,0.89,-8.61,15.22,-11.22
0.77,0.41,-0.25,0.90,-7.54,17.68,-13.98
0.78,0.40,-0.28,0.90,-6.15,19.60,-16.56
0.79,0.38,-0.28,0.93,-5.56,19.30,-18.72
0.80,0.36,-0.27,0.92,-3.16,19.63,-19.25
0.81,0.33,-0.27,0.93,-1.37,20.75,-18.85
0.82,0.31,-0.25,0.93,0.06,20.08,-18.41
0.83,0.32,-0.24,0.91,0.11,20.87,-18.61
0.84,0.31,-0.22,0.88,-0.92,21.07,-18.24
0.85,0.28,-0.23,0.89,-2.09,16.58,-19.79
0.86,0.28,-0.22,0.89,-4.96,14.89,-20.63
0.87,0.26,-0.23,0.90,-5.63,14.08,-19.50
0.88,0.25,-0.22,0.89,-6.92,11.10,-19.44
0.89,0.27,-0.24,0.91,-6.79,10.20,-19.47
0.90,0.28,-0.24,0.91,-5.48,12.11,-19.83
0.91,0.27,-0.25,0.92,-4.12,10.56,-19.98
0.92,0.28,-0.25,0.93,-1.85,10.90,-19.82
0.93,0.26,-0.25,0.93,-0.64,13.04,-18.92
0.94,0.25,-0.24,0.93,0.61,13.08,-18.70
0.95,0.26,-0.23,0.91,-1.01,11.80,-19.30
0.96,0.26,-0.22,0.90,-1.28,10.58,-20.02
0.97,0.26,-0.23,0.88,-3.37,8.55,-20.44
0.98,0.26,-0.22,0.88,-5.45,9.80,-20.08
0.99,0.27,-0.22,0.88,-6.27,10.99,-19.71
1.00,0.26,-0.23,0.89,-7.47,9.50,-19.53
1.01,0.26,-0.24,0.89,-7.40,9.36,-18.23
1.02,0.25,-0.24,0.91,-7.24,8.67,-17.07
1.03,0.25,-0.25,0.92,-5.94,8.41,-15.83
1.04,0.26,-0.25,0.92,-5.11,9.69,-16.05
1.05,0.26,-0.26,0.93,-3.89,9.31,-16.52
1.06,0.25,-0.26,0.93,-2.72,9.95,-16.99
1.07,0.24,-0.26,0.93,-1.94,9.97,-16.34
1.08,0.24,-0.26,0.92,-1.50,8.35,-15.60
1.09,0.24,-0.25,0.91,-0.53,6.92,-15.83
1.10,0.25,-0.25,0.90,-2.15,4.73,-16.81
1.11,0.27,-0.24,0.88,-3.19,3.16,-18.17
1.12,0.28,-0.25,0.89,-3.59,3.65,-20.05
1.13,0.26,-0.26,0.90,-4.20,4.53,-21.01
1.14,0.26,-0.26,0.90,-3.25,5.42,-21.05
1.15,0.25,-0.26,0.90,-2.96,5.94,-20.85
1.16,0.24,-0.25,0.90,-2.32,6.73,-21.31
1.17,0.23,-0.25,0.91,-2.75,6.49,-21.51
1.18,0.23,-0.25,0.93,0.87,5.10,-21.13
1.19,0.22,-0.25,0.93,1.25,6.27,-20.73
1.20,0.23,-0.23,0.91,0.67,6.76,-19.91
1.21,0.23,-0.24,0.91,1.86,5.77,-20.12
1.22,0.24,-0.23,0.90,0.44,5.63,-20.72
1.23,0.24,-0.25,0.91,-1.30,4.72,-21.56
1.24,0.24,-0.25,0.92,-0.73,3.08,-21.77
1.25,0.24,-0.26,0.94,-1.57,1.92,-21.74
1.26,0.23,-0.25,0.92,-1.56,0.55,-21.21
1.27,0.24,-0.25,0.94,0.29,0.84,-20.37
1.28,0.23,-0.25,0.95,1.92,1.69,-20.09
1.29,0.23,-0.24,0.94,2.12,1.22,-19.91
1.30,0.24,-0.24,0.93,3.02,2.38,-19.34
1.31,0.24,-0.23,0.92,2.23,2.29,-20.29
1.32,0.24,-0.24,0.91,2.17,2.24,-21.01
1.33,0.24,-0.24,0.91,2.29,0.98,-21.37
1.34,0.26,-0.23,0.89,1.89,1.07,-21.51
1.35,0.23,-0.23,0.89,-0.37,-0.03,-21.40
1.36,0.24,-0.23,0.91,-1.65,1.71,-19.80
1.37,0.25,-0.24,0.90,-1.79,-4.29,-20.47
1.38,0.28,-0.23,0.89,-1.54,-1.15,-20.02
1.39,0.28,-0.24,0.92,-3.73,4.23,-20.31
1.40,0.24,-0.26,0.94,-3.47,1.47,-20.50
1.41,0.25,-0.26,0.94,0.41,2.35,-21.10
1.42,0.25,-0.24,0.93,3.04,7.98,-22.70
1.43,0.24,-0.24,0.93,4.90,12.23,-23.07
1.44,0.22,-0.23,0.94,5.76,9.40,-23.08
1.45,0.20,-0.22,0.93,5.15,5.68,-22.53
1.46,0.21,-0.20,0.91,4.46,4.90,-21.60
1.47,0.21,-0.20,0.90,3.97,5.42,-20.47
1.48,0.22,-0.21,0.90,3.44,6.53,-19.79
1.49,0.23,-0.20,0.89,3.15,9.13,-19.13
1.50,0.23,-0.20,0.89,0.20,11.62,-18.96
1.51,0.23,-0.19,0.91,-1.37,14.35,-17.74
1.52,0.23,-0.20,0.91,-2.73,14.40,-17.08
1.53,0.22,-0.20,0.91,-6.76,13.30,-15.79
1.54,0.21,-0.20,0.92,-8.55,15.30,-13.98
1.55,0.21,-0.22,0.94,-10.43,15.22,-12.58
1.56,0.21,-0.24,0.95,-9.31,14.82,-11.63
1.57,0.21,-0.24,0.95,-9.05,14.32,-11.34
1.58,0.22,-0.24,0.94,-8.78,13.60,-11.37
1.59,0.23,-0.23,0.92,-9.19,13.36,-11.50
1.60,0.22,-0.23,0.91,-9.30,13.80,-11.51
1.61,0.23,-0.23,0.89,-12.23,15.11,-11.27
1.62,0.22,-0.22,0.90,-14.52,13.89,-11.80
1.63,0.23,-0.22,0.89,-15.25,11.85,-11.19
1.64,0.22,-0.24,0.89,-16.64,12.35,-11.39
1.65,0.23,-0.26,0.91,-16.64,14.87,-11.59
1.66,0.24,-0.28,0.93,-13.92,16.02,-12.43
1.67,0.24,-0.29,0.95,-10.85,16.08,-14.64
1.68,0.24,-0.29,0.94,-8.21,15.11,-16.81
1.69,0.23,-0.28,0.95,-6.12,14.37,-16.41
1.70,0.21,-0.26,0.94,-4.31,13.16,-16.03
1.71,0.24,-0.26,0.94,-3.98,16.70,-14.85
1.72,0.22,-0.25,0.93,-5.68,13.73,-15.50
1.73,0.19,-0.26,0.93,-6.41,10.79,-16.24
1.74,0.19,-0.26,0.92,-7.24,8.11,-17.10
1.75,0.26,-0.24,0.82,-8.14,16.93,-14.76
1.76,0.22,-0.27,0.92,-8.37,6.85,-17.02
1.77,0.20,-0.27,0.91,-6.72,4.03,-17.60
1.78,0.22,-0.27,0.91,-4.87,3.74,-16.87
1.79,0.24,-0.27,0.91,-5.04,3.27,-18.17
1.80,0.22,-0.26,0.90,-4.56,2.98,-19.19
1.81,0.22,-0.26,0.91,-4.05,3.05,-20.00
1.82,0.21,-0.26,0.91,-3.53,3.22,-19.86
1.83,0.20,-0.25,0.90,-3.44,4.26,-19.83
1.84,0.20,-0.25,0.89,-2.99,4.52,-19.92
1.85,0.20,-0.25,0.88,-2.96,3.98,-19.18
1.86,0.21,-0.26,0.88,-4.17,6.21,-17.74
1.87,0.21,-0.27,0.90,-2.03,5.62,-18.21
1.88,0.22,-0.27,0.92,-1.19,4.43,-19.42
1.89,0.22,-0.27,0.91,0.09,4.11,-19.89
1.90,0.23,-0.25,0.91,0.37,6.47,-18.75
1.91,0.23,-0.25,0.89,0.00,10.17,-18.31
1.92,0.22,-0.26,0.90,0.03,12.56,-18.63
1.93,0.19,-0.27,0.93,-0.72,12.96,-19.08
1.94,0.18,-0.28,0.95,-1.02,11.25,-19.16
1.95,0.17,-0.28,0.96,-0.11,11.15,-18.02
1.96,0.20,-0.27,0.95,-0.58,11.05,-17.79
1.97,0.19,-0.26,0.94,-2.43,9.91,-18.09
1.98,0.19,-0.25,0.94,-2.32,6.52,-18.70
1.99,0.20,-0.26,0.94,-2.56,4.93,-19.77
2.00,0.22,-0.25,0.93,-2.79,8.29,-19.98
2.01,0.23,-0.26,0.93,-1.97,7.66,-21.59
2.02,0.24,-0.27,0.94,-1.19,6.89,-23.74
2.03,0.22,-0.28,0.95,-0.87,8.23,-23.13
2.04,0.21,-0.29,0.96,3.30,10.61,-21.19
2.05,0.22,-0.29,0.95,5.04,12.12,-20.49
2.06,0.20,-0.27,0.94,5.22,11.92,-20.90
2.07,0.22,-0.27,0.92,5.77,10.89,-22.17
