time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00,0.00,-0.04,0.87,0.20,-0.84,-2.46
0.01,-0.00,-0.04,0.86,0.63,-1.86,-2.90
0.02,0.00,-0.03,0.86,0.70,-1.42,-2.21
0.03,0.00,-0.03,0.86,-0.61,-0.63,-1.59
0.04,0.01,-0.03,0.87,-1.73,-0.09,-1.25
0.05,0.02,-0.03,0.87,-2.58,0.61,-1.01
0.06,0.01,-0.04,0.87,-2.98,2.23,-1.15
0.07,-0.01,-0.04,0.87,-2.79,1.77,-1.42
0.08,-0.01,-0.05,0.89,-2.44,0.70,-1.51
0.09,0.00,-0.05,0.89,-0.14,0.06,-2.21
0.10,-0.01,-0.06,0.89,1.31,-1.37,-2.66
0.11,0.01,-0.05,0.88,1.16,-1.18,-2.02
0.12,0.01,-0.04,0.88,0.26,1.01,-1.30
0.13,0.01,-0.04,0.87,-0.78,2.32,-0.05
0.14,0.01,-0.04,0.88,-1.21,2.99,0.64
0.15,0.01,-0.03,0.87,-1.86,2.60,1.15
0.16,0.03,-0.04,0.89,-1.71,2.11,0.12
0.17,0.04,-0.04,0.88,-0.27,2.00,-1.37
0.18,0.05,-0.04,0.88,0.96,1.62,-3.50
0.19,0.02,-0.04,0.88,2.27,1.28,-4.58
0.20,0.01,-0.03,0.85,2.20,2.40,-4.37
0.21,0.00,-0.02,0.84,0.35,4.20,-3.31
0.22,-0.03,-0.03,0.83,-1.50,4.76,-2.95
0.23,-0.04,-0.03,0.83,-2.08,2.73,-1.89
0.24,-0.05,-0.05,0.85,-2.40,1.40,-0.98
0.25,-0.03,-0.05,0.85,-2.75,0.98,-0.09
0.26,-0.02,-0.06,0.86,-2.93,1.05,0.66
0.27,-0.01,-0.05,0.86,-2.44,0.24,-0.47
0.28,-0.01,-0.05,0.87,-1.33,-0.41,-1.24
0.29,-0.00,-0.04,0.87,-1.01,-1.15,-0.63
0.30,0.01,-0.04,0.87,-1.80,-0.12,-0.37
0.31,0.02,-0.04,0.87,-2.64,1.05,-0.35
0.32,0.02,-0.05,0.88,-2.26,0.89,-0.92
0.33,0.00,-0.05,0.88,-1.66,0.70,-1.36
0.34,-0.00,-0.04,0.87,-2.02,0.92,-1.04
0.35,0.00,-0.04,0.86,-2.26,1.21,-0.53
0.36,0.00,-0.05,0.87,-2.00,2.12,0.03
0.37,0.00,-0.04,0.86,-2.81,1.47,0.00
0.38,0.01,-0.04,0.87,-3.33,1.02,0.37
0.39,0.01,-0.05,0.87,-2.72,0.75,1.15
0.40,0.03,-0.04,0.87,-2.44,0.46,0.75
0.41,0.03,-0.04,0.86,-2.12,-0.56,0.41
0.42,0.05,-0.04,0.86,-2.76,-1.86,-0.09
0.43,0.06,-0.04,0.86,-2.99,-1.08,-1.22
0.44,0.05,-0.04,0.86,-2.26,-2.29,-2.31
0.45,0.06,-0.04,0.85,-2.98,-3.16,-2.82
0.46,0.06,-0.06,0.85,-3.54,-3.15,-3.19
0.47,0.06,-0.05,0.84,-3.45,-3.13,-2.69
0.48,0.07,-0.06,0.84,-3.59,-3.36,-2.11
0.49,0.07,-0.07,0.82,-3.59,-4.64,-2.70
0.50,0.08,-0.07,0.82,-2.66,-7.42,-3.47
0.51,0.08,-0.09,0.83,-1.54,-13.11,-5.79
0.52,0.08,-0.08,0.83,2.00,-23.85,-10.44
0.53,0.11,-0.08,0.83,5.27,-29.30,-13.33
0.54,0.14,-0.03,0.81,2.96,-29.34,-13.19
0.55,0.15,-0.00,0.79,-2.06,-26.15,-10.87
0.56,0.19,-0.00,0.80,-8.18,-22.73,-9.13
0.57,0.22,-0.00,0.83,-11.83,-20.35,-10.02
0.58,0.24,-0.02,0.87,-14.00,-18.76,-12.08
0.59,0.25,-0.03,0.89,-14.99,-18.24,-13.28
0.60,0.26,-0.03,0.91,-15.83,-17.34,-14.60
0.61,0.31,-0.04,0.94,-16.69,-16.34,-16.95
0.62,0.33,-0.05,0.98,-16.20,-15.13,-21.25
0.63,0.33,-0.07,1.02,-14.08,-14.05,-26.11
0.64,0.34,-0.07,1.03,-12.34,-11.30,-30.20
0.65,0.32,-0.08,1.04,-9.15,-8.90,-33.53
0.66,0.31,-0.09,1.04,-6.92,-5.48,-35.65
0.67,0.27,-0.10,1.05,-4.58,-3.28,-38.37
0.68,0.23,-0.13,1.05,-1.94,-4.32,-41.77
0.69,0.20,-0.12,1.04,0.23,-6.56,-45.30
0.70,0.16,-0.12,1.03,1.74,-7.68,-45.71
0.71,0.15,-0.10,1.01,1.68,-6.37,-44.58
0.72,0.14,-0.11,1.01,-0.15,-3.82,-44.32
0.73,0.12,-0.11,1.02,-2.27,-0.89,-43.98
0.74,0.11,-0.12,1.05,-2.32,1.34,-43.42
0.75,0.10,-0.13,1.06,-2.47,3.86,-43.10
0.76,0.09,-0.13,1.09,-2.50,6.02,-42.70
0.77,0.07,-0.14,1.11,-0.67,8.29,-42.03
0.78,0.05,-0.13,1.10,-0.89,14.47,-40.41
0.79,0.02,-0.13,1.11,2.23,17.36,-35.77
0.80,-0.02,-0.13,1.10,-2.85,26.20,-32.31
0.81,-0.04,-0.13,1.11,-6.38,32.37,-29.05
0.82,-0.08,-0.14,1.11,-6.75,33.60,-24.40
0.83,-0.10,-0.15,1.13,-5.69,32.34,-22.41
0.84,-0.13,-0.17,1.16,-2.43,28.18,-22.02
0.85,-0.15,-0.17,1.17,4.60,19.77,-22.89
0.86,-0.16,-0.16,1.16,13.27,10.32,-23.83
0.87,-0.14,-0.15,1.16,19.11,7.19,-24.73
0.88,-0.11,-0.10,1.16,25.66,8.12,-23.18
0.89,-0.11,-0.08,1.12,29.18,11.15,-21.80
0.90,-0.15,-0.05,1.08,29.92,13.63,-19.04
0.91,-0.17,-0.05,1.05,30.21,16.37,-14.76
0.92,-0.19,-0.05,1.04,29.68,16.14,-12.23
0.93,-0.21,-0.04,1.03,28.95,13.62,-10.06
0.94,-0.21,-0.05,1.02,30.11,10.03,-10.00
0.95,-0.23,-0.05,1.03,32.67,5.01,-10.53
0.96,-0.22,-0.05,1.03,37.10,0.03,-9.39
0.97,-0.20,-0.04,1.01,41.04,-3.51,-8.79
0.98,-0.17,-0.02,0.99,42.66,-4.53,-8.50
0.99,-0.16,-0.00,0.98,43.25,-1.47,-7.31
1.00,-0.18,0.02,0.96,42.38,1.63,-5.40
1.01,-0.21,0.04,0.94,40.96,1.18,-3.47
1.02,-0.20,0.05,0.92,40.82,-4.27,0.18
1.03,-0.18,0.04,0.92,37.76,-5.15,-0.09
1.04,-0.18,0.07,0.85,34.11,-2.44,1.31
1.05,-0.20,0.05,0.90,37.01,-6.98,3.69
1.06,-0.18,0.08,0.87,37.57,-8.29,4.29
1.07,-0.18,0.06,0.88,39.31,-8.89,5.42
1.08,-0.14,0.08,0.87,38.41,-4.08,7.08
1.09,-0.13,0.08,0.85,38.78,0.50,8.06
1.10,-0.14,0.08,0.83,38.75,7.21,9.97
1.11,-0.20,0.08,0.83,39.74,7.19,14.55
1.12,-0.23,0.09,0.78,35.91,8.63,17.05
1.13,-0.25,0.10,0.77,35.25,3.15,20.11
1.14,-0.19,0.10,0.77,36.84,-2.46,18.67
1.15,-0.17,0.09,0.77,37.62,-7.36,13.73
1.16,-0.20,0.10,0.77,39.57,-13.65,10.18
1.17,-0.19,0.10,0.78,43.63,-18.03,9.47
1.18,-0.16,0.13,0.74,43.02,-18.09,11.11
1.19,-0.12,0.15,0.73,40.70,-14.70,14.34
1.20,-0.11,0.17,0.71,36.21,-8.43,17.05
1.21,-0.12,0.15,0.71,35.65,-3.13,22.43
1.22,-0.12,0.16,0.68,32.96,3.56,26.52
1.23,-0.16,0.14,0.66,31.39,4.05,28.24
1.24,-0.19,0.12,0.66,31.56,-4.06,26.85
1.25,-0.19,0.11,0.66,37.79,-22.03,18.49
1.26,-0.18,0.12,0.64,43.80,-33.47,13.19
1.27,-0.13,0.15,0.61,47.77,-37.28,13.50
1.28,-0.06,0.17,0.58,45.98,-31.16,16.02
1.29,-0.06,0.20,0.54,38.38,-21.95,20.05
1.30,-0.04,0.21,0.51,28.21,-11.57,25.42
1.31,-0.05,0.22,0.49,20.84,-5.65,30.75
1.32,-0.08,0.20,0.49,13.40,-1.33,34.72
1.33,-0.12,0.17,0.48,7.53,-1.51,38.50
1.34,-0.13,0.15,0.52,11.40,-14.53,38.76
1.35,-0.10,0.14,0.52,15.63,-27.36,36.60
1.36,-0.03,0.16,0.52,16.82,-35.21,32.55
1.37,0.02,0.17,0.50,17.71,-39.95,31.80
1.38,0.04,0.19,0.50,14.06,-33.54,33.83
1.39,-0.01,0.18,0.50,11.98,-30.02,37.74
1.40,-0.04,0.14,0.50,15.98,-37.24,34.69
1.41,-0.08,0.10,0.50,27.02,-55.95,29.79
1.42,-0.05,0.13,0.47,36.46,-72.85,26.06
1.43,0.05,0.15,0.45,38.76,-77.48,30.05
1.44,0.19,0.20,0.41,29.21,-65.02,36.53
1.45,0.26,0.21,0.42,16.84,-45.83,44.12
1.46,0.28,0.23,0.42,2.73,-24.46,50.43
1.47,0.26,0.23,0.45,-8.52,-12.72,56.15
1.48,0.28,0.20,0.49,-18.15,-8.49,57.65
1.49,0.29,0.18,0.51,-22.50,-5.92,56.63
1.50,0.27,0.13,0.56,-18.21,-9.45,50.75
1.51,0.30,0.13,0.58,-12.11,-12.90,46.29
1.52,0.32,0.13,0.56,-8.73,-16.44,41.19
1.53,0.37,0.17,0.58,-9.71,-14.58,41.11
1.54,0.41,0.16,0.58,-13.25,-6.95,41.28
1.55,0.44,0.16,0.58,-18.92,3.25,42.02
1.56,0.43,0.13,0.60,-22.29,14.76,44.81
1.57,0.42,0.11,0.59,-25.54,23.40,48.32
1.58,0.40,0.12,0.60,-30.44,27.11,49.69
1.59,0.41,0.11,0.63,-30.90,21.83,43.97
1.60,0.37,0.10,0.65,-28.17,9.59,32.40
1.61,0.34,0.14,0.66,-26.50,-0.32,27.94
1.62,0.38,0.15,0.65,-29.37,1.04,28.00
1.63,0.40,0.14,0.66,-34.93,7.34,32.18
1.64,0.42,0.13,0.68,-40.84,15.53,40.24
1.65,0.46,0.11,0.72,-43.76,18.75,43.36
1.66,0.54,0.10,0.77,-42.89,20.50,41.28
1.67,0.56,0.07,0.80,-39.63,20.31,34.29
1.68,0.59,0.06,0.80,-37.59,21.28,26.60
1.69,0.55,0.06,0.77,-36.75,23.34,19.80
1.70,0.47,0.07,0.73,-36.46,27.82,18.02
1.71,0.44,0.05,0.72,-38.75,31.69,20.64
1.72,0.38,0.07,0.71,-41.56,31.83,21.53
1.73,0.36,0.08,0.70,-46.17,30.49,22.85
1.74,0.27,0.07,0.80,-45.63,19.76,23.15
1.75,0.21,0.06,0.73,-45.11,8.50,20.85
1.76,0.31,0.01,0.83,-47.73,9.82,16.05
1.77,0.28,-0.07,0.87,-35.97,11.71,18.76
1.78,0.29,-0.01,0.86,-32.05,17.25,26.63
1.79,0.33,0.01,0.82,-31.08,19.28,29.66
1.80,0.34,0.00,0.83,-35.63,22.49,30.47
1.81,0.34,-0.00,0.85,-35.42,23.25,30.66
1.82,0.39,-0.02,0.84,-38.31,26.00,27.71
1.83,0.40,-0.01,0.91,-37.94,23.10,23.18
1.84,0.41,-0.02,0.93,-37.60,21.48,15.65
1.85,0.40,-0.02,0.95,-37.24,25.89,13.08
1.86,0.37,-0.03,0.95,-38.64,28.11,9.27
1.87,0.37,-0.03,0.96,-38.63,28.75,5.19
1.88,0.31,-0.03,0.95,-35.16,27.60,2.61
1.89,0.25,-0.05,0.93,-32.26,19.83,1.36
1.90,0.30,-0.02,0.94,-31.47,17.77,1.71
1.91,0.31,-0.03,0.92,-32.24,19.22,1.92
1.92,0.32,0.01,0.91,-38.75,22.20,3.98
1.93,0.35,0.00,0.94,-38.18,27.47,5.51
1.94,0.36,-0.01,0.97,-38.50,31.07,4.76
1.95,0.33,-0.01,0.97,-36.73,33.48,1.33
1.96,0.28,-0.03,0.96,-33.80,29.79,-3.97
1.97,0.26,-0.02,0.95,-32.64,25.08,-5.80
1.98,0.32,-0.02,0.94,-32.11,19.62,-8.89
1.99,0.36,-0.04,0.95,-32.69,16.79,-15.56
2.00,0.36,-0.04,0.97,-34.52,14.61,-19.45
2.01,0.40,-0.04,0.97,-36.95,17.91,-21.97
2.02,0.38,-0.04,0.97,-37.82,24.75,-24.52
2.03,0.30,-0.07,0.98,-34.70,27.13,-25.69
2.04,0.24,-0.10,0.99,-32.34,29.27,-25.69
2.05,0.18,-0.15,1.03,-22.56,24.56,-25.16
2.06,0.17,-0.15,1.01,-10.90,17.71,-24.02
2.07,0.20,-0.11,0.99,-9.21,14.66,-24.89
2.08,0.22,-0.08,0.94,-12.12,16.12,-25.04
2.09,0.23,-0.05,0.94,-15.31,16.67,-24.03
2.10,0.26,-0.06,0.95,-18.03,22.66,-26.29
2.11,0.20,-0.09,0.96,-16.70,14.46,-29.62
2.12,0.23,-0.13,1.06,-17.01,24.31,-33.18
2.13,0.23,-0.13,1.00,-13.27,23.39,-34.37
2.14,0.17,-0.17,1.02,-8.32,19.22,-38.90
2.15,0.10,-0.16,1.04,-0.27,15.19,-39.63
2.16,0.08,-0.14,1.04,4.47,15.92,-36.70
2.17,0.06,-0.13,1.01,8.08,15.37,-35.88
2.18,0.03,-0.13,0.98,8.85,11.79,-33.56
2.19,0.03,-0.13,0.97,8.32,11.36,-30.49
2.20,0.06,-0.13,0.96,4.44,12.41,-28.72
2.21,0.10,-0.13,0.99,2.24,14.61,-29.15
2.22,0.07,-0.12,0.99,1.15,17.39,-31.48
2.23,-0.00,-0.12,1.01,2.66,18.40,-32.60
2.24,-0.04,-0.12,1.01,4.38,18.35,-33.80
2.25,-0.08,-0.12,1.00,8.85,14.69,-33.82
2.26,-0.10,-0.10,0.97,8.23,12.02,-32.35
2.27,-0.09,-0.12,0.98,7.13,8.21,-30.87
2.28,-0.11,-0.11,0.96,6.50,7.11,-30.38
2.29,-0.14,-0.10,0.93,4.03,3.13,-27.97
2.30,-0.11,-0.09,0.96,1.62,4.17,-25.15
2.31,-0.11,-0.10,0.97,4.11,7.62,-24.85
2.32,-0.13,-0.09,0.96,5.71,9.82,-23.01
2.33,-0.14,-0.07,0.94,3.98,11.40,-21.16
