time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00,-0.14,-0.10,1.03,-5.31,-0.89,-18.02
0.02,-0.14,-0.10,1.04,-6.12,-1.36,-12.92
0.03,-0.13,-0.10,1.03,-4.87,-1.11,-5.88
0.04,-0.13,-0.10,1.06,-4.89,-1.24,-13.91
0.05,-0.14,-0.10,1.06,-3.19,-1.76,-11.60
0.06,-0.14,-0.10,1.05,-3.25,-1.88,-18.52
0.07,-0.13,-0.10,1.03,-4.53,-1.50,-8.24
0.08,-0.14,-0.10,1.04,-4.15,-0.81,-1.05
0.09,-0.14,-0.09,1.04,-4.08,-0.15,-15.13
0.10,-0.14,-0.10,1.03,-5.40,0.23,-8.35
0.11,-0.13,-0.10,1.03,-4.35,-0.96,-1.02
0.12,-0.15,-0.10,1.03,-4.52,-1.02,1.65
0.13,-0.15,-0.10,1.01,-4.84,-0.67,-9.40
0.14,-0.15,-0.10,1.01,-4.67,-0.70,-13.27
0.15,-0.16,-0.09,1.00,-6.00,-1.54,-13.16
0.16,-0.15,-0.09,1.00,-7.63,1.04,-8.76
0.17,-0.15,-0.09,1.00,-7.56,-1.19,-0.18
0.18,-0.14,-0.09,1.00,-8.41,-3.24,-9.05
0.19,-0.15,-0.10,1.00,-8.96,-4.49,2.24
0.20,-0.14,-0.09,1.02,-7.89,-5.27,-13.98
0.21,-0.12,-0.10,1.02,-8.32,-5.30,-23.36
0.22,-0.14,-0.10,1.05,-7.77,-5.83,-7.51
0.23,-0.13,-0.10,1.07,-4.53,-6.92,-4.12
0.24,-0.13,-0.12,1.05,-2.99,-8.64,-17.74
0.25,-0.12,-0.11,1.02,-3.42,-6.95,11.97
0.26,-0.11,-0.10,1.01,-3.97,-5.83,-12.38
0.27,-0.11,-0.10,1.01,-5.73,-5.11,-8.20
0.28,-0.12,-0.10,1.02,-5.39,-5.25,-16.23
0.29,-0.13,-0.10,1.02,-5.30,-6.05,-8.35
0.30,-0.12,-0.10,1.02,-6.31,-5.97,-7.95
0.31,-0.12,-0.10,1.01,-6.55,-5.10,-1.44
0.32,-0.11,-0.10,0.99,-7.16,-4.46,-14.76
0.33,-0.13,-0.10,1.01,-7.05,-4.60,-2.27
0.34,-0.13,-0.10,1.00,-8.34,-4.31,-4.27
0.35,-0.14,-0.11,1.02,-7.76,-3.68,-8.49
0.36,-0.14,-0.11,1.02,-7.63,-3.65,-14.78
0.37,-0.14,-0.10,1.02,-7.21,-3.16,-5.97
0.38,-0.14,-0.10,1.01,-8.27,-2.43,-3.91
0.39,-0.15,-0.11,1.02,-8.14,-2.55,3.19
0.40,-0.14,-0.11,1.01,-8.41,-2.26,-3.51
0.41,-0.14,-0.10,1.00,-8.44,-1.54,-8.98
0.42,-0.14,-0.11,1.01,-8.85,-2.46,-16.37
0.43,-0.13,-0.11,1.01,-8.58,-2.38,-6.18
0.44,-0.13,-0.10,1.01,-9.10,-3.01,-2.96
