time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00,0.27,-0.33,0.85,-1.08,0.55,-1.76
0.01,0.27,-0.33,0.84,-2.21,0.20,-2.00
0.02,0.27,-0.34,0.86,-3.24,-0.27,-2.32
0.03,0.27,-0.35,0.87,-2.15,0.35,-2.64
0.04,0.26,-0.36,0.89,-1.07,0.44,-3.13
0.05,0.26,-0.36,0.90,1.25,1.08,-2.89
0.06,0.27,-0.35,0.89,1.74,1.89,-2.52
0.07,0.26,-0.34,0.87,1.31,2.18,-2.05
0.08,0.26,-0.34,0.87,0.69,1.98,-1.47
0.09,0.26,-0.35,0.87,0.03,2.14,-1.10
0.10,0.27,-0.34,0.87,-0.96,1.33,-1.36
0.11,0.28,-0.35,0.87,-0.85,1.18,-1.89
0.12,0.28,-0.36,0.88,0.40,1.05,-2.55
0.13,0.27,-0.36,0.89,1.62,1.69,-2.93
0.14,0.26,-0.36,0.89,2.41,2.64,-3.18
0.15,0.25,-0.35,0.88,3.39,3.51,-3.10
0.16,0.23,-0.36,0.89,2.82,3.45,-2.87
0.17,0.22,-0.35,0.89,2.55,3.73,-1.77
0.18,0.20,-0.34,0.89,1.15,2.67,-1.19
0.19,0.19,-0.35,0.88,1.82,0.82,-0.44
0.20,0.19,-0.34,0.89,1.89,-1.73,0.08
0.21,0.18,-0.34,0.87,1.05,-3.86,1.45
0.22,0.20,-0.34,0.86,0.43,-4.18,2.98
0.23,0.21,-0.34,0.87,-0.85,-3.16,4.47
0.24,0.21,-0.35,0.89,-1.07,-3.76,5.30
0.25,0.23,-0.36,0.90,-0.98,-2.76,5.63
0.26,0.23,-0.36,0.89,-1.40,-2.90,5.65
0.27,0.24,-0.37,0.90,-0.14,-4.64,4.98
0.28,0.24,-0.37,0.90,1.73,-4.24,5.31
0.29,0.25,-0.37,0.89,1.74,-3.54,5.44
0.30,0.26,-0.35,0.87,1.05,-3.63,5.24
0.31,0.26,-0.35,0.87,0.29,-3.66,4.69
0.32,0.25,-0.35,0.87,0.00,-3.95,5.08
0.33,0.25,-0.35,0.88,0.12,-3.95,5.71
0.34,0.26,-0.35,0.88,-0.47,-4.47,6.20
0.35,0.27,-0.36,0.87,-0.09,-4.27,6.23
0.36,0.27,-0.36,0.88,-0.35,-3.76,6.27
0.37,0.28,-0.36,0.87,-0.49,-1.76,6.55
0.38,0.26,-0.37,0.88,-0.41,-0.29,6.08
0.39,0.26,-0.37,0.89,0.99,0.02,6.38
0.40,0.25,-0.37,0.89,2.52,0.21,5.83
0.41,0.23,-0.36,0.87,3.36,-0.69,4.81
0.42,0.22,-0.35,0.86,2.20,-1.25,5.01
0.43,0.20,-0.35,0.86,2.12,-1.18,6.26
0.44,0.18,-0.34,0.86,1.25,-1.27,7.02
0.45,0.17,-0.35,0.88,0.75,-3.27,8.03
0.46,0.16,-0.36,0.90,0.44,-4.09,9.33
0.47,0.15,-0.37,0.92,1.88,-6.69,11.33
0.48,0.14,-0.38,0.93,3.07,-10.43,12.58
0.49,0.15,-0.38,0.92,2.78,-13.76,13.91
0.50,0.15,-0.39,0.92,2.23,-16.14,15.48
0.51,0.16,-0.38,0.92,2.40,-18.05,16.08
0.52,0.18,-0.38,0.91,2.15,-20.15,16.15
0.53,0.18,-0.39,0.91,2.44,-21.44,16.50
0.54,0.19,-0.39,0.92,4.95,-19.79,17.45
0.55,0.22,-0.38,0.88,6.89,-15.60,18.78
0.56,0.22,-0.38,0.87,5.59,-10.75,20.06
