time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00,0.04,-0.04,0.89,0.11,0.79,-2.49
0.01,0.02,-0.03,0.90,1.91,-0.11,-1.39
0.02,0.04,-0.01,0.87,1.95,0.03,-1.07
0.03,0.04,-0.01,0.87,1.30,1.56,-1.79
0.04,0.03,-0.01,0.87,0.20,0.41,-0.44
0.05,0.04,0.00,0.86,-1.68,1.39,-0.21
0.06,0.05,-0.02,0.86,-2.26,1.60,-0.03
0.07,0.05,-0.01,0.87,-2.15,1.05,-0.38
0.08,0.05,-0.02,0.87,-1.62,0.92,-0.75
0.09,0.04,-0.02,0.87,0.15,-0.35,-0.61
0.10,0.04,-0.02,0.87,0.93,-1.76,-1.15
0.11,0.05,-0.02,0.86,0.93,-2.32,-1.08
0.12,0.07,0.00,0.86,0.43,0.12,-0.98
0.13,0.05,-0.01,0.86,-1.44,-0.34,-0.93
0.14,0.08,0.01,0.85,-4.32,3.76,-0.72
0.15,0.06,-0.01,0.87,-4.90,3.19,-0.64
0.16,0.05,-0.02,0.88,-2.99,0.96,-2.24
0.17,0.04,-0.04,0.89,0.37,-2.96,-3.79
0.18,0.06,-0.03,0.89,1.68,-2.90,-4.43
0.19,0.07,-0.01,0.89,1.30,-0.64,-3.68
0.20,0.06,0.01,0.86,-0.17,2.70,-3.02
0.21,0.06,-0.00,0.86,-1.94,5.86,-2.49
0.22,0.03,-0.01,0.85,-2.47,4.66,-2.49
0.23,0.03,-0.03,0.88,-1.27,1.04,-4.18
0.24,0.02,-0.03,0.88,1.01,-1.63,-4.31
0.25,0.03,-0.01,0.88,0.34,0.78,-2.98
0.26,0.04,-0.00,0.86,-1.25,3.36,-1.88
0.27,0.04,0.01,0.85,-3.21,5.08,-1.33
0.28,0.04,-0.00,0.86,-4.34,4.11,-1.34
0.29,0.03,-0.01,0.88,-4.52,2.26,-1.69
0.30,0.02,-0.03,0.90,-1.54,-0.41,-1.60
0.31,0.01,-0.04,0.90,0.55,-3.77,-2.17
0.32,0.02,-0.03,0.90,2.17,-4.61,-1.74
0.33,0.05,-0.01,0.88,1.65,-3.01,-1.27
0.34,0.06,-0.00,0.86,-1.16,1.33,-0.76
