time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.01,-0.05,-0.26,1.01,-9.80,2.78,-14.58
0.02,-0.04,-0.26,1.04,-8.96,-0.72,-13.40
0.03,-0.05,-0.27,1.08,-7.56,-4.67,-14.00
0.04,-0.03,-0.27,1.07,-6.03,-6.98,-11.98
0.05,-0.02,-0.27,1.04,-5.68,-9.45,-11.34
0.06,-0.02,-0.27,1.01,-7.98,-11.97,-4.43
0.07,-0.04,-0.25,1.00,-10.38,-16.73,-16.60
0.08,-0.05,-0.25,0.96,-14.35,-17.73,-11.11
0.09,-0.04,-0.25,0.97,-16.92,-18.20,-8.69
0.10,-0.02,-0.25,1.00,-15.21,-21.47,-10.26
0.11,0.04,-0.25,1.01,-12.64,-18.84,-5.69
0.12,0.09,-0.25,1.08,-9.57,-14.08,-3.83
0.13,0.12,-0.25,1.07,-7.48,-10.70,-16.58
0.14,0.14,-0.24,1.02,-6.18,-5.27,-15.10
0.15,0.11,-0.24,1.00,-6.06,0.06,-8.92
0.16,0.05,-0.23,1.00,-7.08,3.28,-4.49
0.17,0.01,-0.24,1.01,-6.31,5.25,-21.88
0.18,-0.02,-0.24,1.00,-6.14,4.93,-7.63
0.19,-0.04,-0.24,1.00,-6.56,3.13,-11.18
0.20,-0.03,-0.25,1.01,-6.87,2.18,-3.85
0.21,-0.00,-0.26,1.04,-5.60,3.01,-17.53
0.22,0.02,-0.26,1.06,-3.97,6.37,-13.57
0.23,0.04,-0.27,1.08,-0.23,9.59,-9.24
0.24,0.04,-0.26,1.08,1.30,13.21,-2.95
0.25,0.01,-0.26,1.05,2.93,15.59,-12.58
0.26,0.00,-0.25,1.03,1.95,15.39,-3.19
0.27,-0.02,-0.25,1.03,1.45,11.60,-0.90
0.28,-0.03,-0.25,1.03,2.29,8.73,-13.91
0.29,-0.03,-0.25,1.02,2.37,8.12,-9.07
0.30,-0.03,-0.24,1.01,2.27,8.79,-6.73
0.31,-0.03,-0.24,1.02,1.66,10.26,-3.77
0.32,-0.03,-0.23,1.02,2.23,12.58,-12.11
0.33,-0.04,-0.23,1.02,1.71,13.68,-9.27
0.34,-0.04,-0.22,1.01,1.37,15.05,-11.86
0.35,-0.07,-0.22,1.00,0.41,14.99,-13.11
0.36,-0.10,-0.21,0.99,-1.21,15.97,-11.63
0.37,-0.11,-0.21,0.97,-4.79,15.97,1.05
0.38,-0.14,-0.21,0.96,-8.63,14.82,-17.73
0.39,-0.20,-0.23,0.98,-14.67,9.13,-14.66
0.40,-0.25,-0.24,1.04,-16.09,4.50,-1.69
0.41,-0.27,-0.27,1.05,-17.88,-1.50,-1.59
0.42,-0.25,-0.27,1.08,-15.88,-6.95,-2.49
0.43,-0.21,-0.27,1.12,-12.93,-10.06,5.16
0.44,-0.18,-0.28,1.12,-10.17,-13.77,21.10
0.45,-0.16,-0.29,1.10,-7.27,-15.40,4.47
0.46,-0.15,-0.27,1.09,-5.19,-15.79,-7.51
0.47,-0.16,-0.27,1.07,-3.82,-15.71,13.30
0.48,-0.13,-0.26,1.03,-2.84,-15.19,14.27
0.49,-0.13,-0.26,1.05,-2.00,-15.42,14.47
0.50,-0.13,-0.25,1.04,-1.28,-14.55,10.67
0.51,-0.12,-0.24,1.02,-0.06,-13.97,1.62
0.52,-0.10,-0.23,1.01,-0.81,-11.62,20.96
0.53,-0.10,-0.24,0.98,-0.98,-9.91,11.83
0.54,-0.11,-0.24,0.99,-1.37,-10.61,20.72
0.55,-0.13,-0.25,0.99,-0.95,-12.93,14.31
0.56,-0.14,-0.24,0.98,-1.53,-16.37,20.66
0.57,-0.15,-0.25,0.98,-1.69,-17.34,23.57
0.58,-0.12,-0.25,0.99,-1.57,-17.21,20.18
0.59,-0.08,-0.25,0.98,-2.56,-15.07,22.05
0.60,-0.05,-0.26,0.99,-3.18,-11.66,25.80
0.61,-0.05,-0.25,0.99,-3.37,-10.05,17.56
0.62,-0.04,-0.25,1.00,-2.78,-10.17,17.47
0.63,-0.04,-0.26,1.00,-2.78,-11.16,22.50
0.64,-0.04,-0.27,1.01,-3.63,-10.70,22.12
0.65,-0.04,-0.27,0.99,-3.98,-9.73,32.21
0.66,-0.03,-0.28,0.98,-3.40,-8.92,26.56
0.67,-0.04,-0.28,1.00,-3.51,-7.34,12.93
0.68,-0.01,-0.29,1.00,-2.93,-5.28,20.44
0.69,0.02,-0.29,0.99,-4.87,-1.37,28.26
0.70,0.02,-0.29,0.97,-3.83,1.82,28.35
0.71,0.01,-0.31,0.99,-0.82,0.56,34.08
0.72,0.02,-0.30,0.98,0.46,2.43,38.90
0.73,0.00,-0.31,0.96,-0.46,3.31,28.05
0.74,-0.02,-0.31,0.96,-1.11,3.33,23.18
0.75,-0.04,-0.31,0.95,-0.56,4.09,28.73
0.76,-0.05,-0.33,0.96,1.24,4.15,18.60
0.77,-0.09,-0.33,0.96,1.77,2.11,34.34
0.78,-0.12,-0.33,0.95,0.47,-0.50,32.55
0.79,-0.13,-0.33,0.95,-0.56,-3.92,26.99
0.80,-0.12,-0.34,0.96,-0.98,-7.08,35.71
0.81,-0.08,-0.35,0.96,-0.44,-8.32,24.17
0.82,-0.05,-0.35,0.97,-0.05,-7.88,30.66
0.83,0.00,-0.35,0.97,-1.18,-2.78,14.66
0.84,0.05,-0.37,0.95,-3.45,4.78,22.11
0.85,0.05,-0.36,0.96,-4.90,13.27,16.64
0.86,0.00,-0.36,0.96,-7.95,21.34,20.43
0.87,-0.06,-0.37,0.99,-8.46,24.81,18.73
0.88,-0.14,-0.36,1.00,-6.72,24.44,10.24
0.89,-0.23,-0.34,0.98,-6.12,17.62,12.35
0.90,-0.30,-0.33,0.97,-6.34,5.89,29.74
0.91,-0.28,-0.32,0.98,-6.70,-7.79,24.27
0.92,-0.17,-0.32,1.00,-4.73,-20.92,26.23
0.93,-0.02,-0.32,1.03,-2.41,-27.68,43.83
0.94,0.12,-0.30,0.99,-0.99,-27.45,18.96
0.95,0.21,-0.28,0.92,-1.45,-21.30,11.15
0.96,0.19,-0.25,0.89,-2.89,-13.15,19.31
0.97,0.13,-0.23,0.86,-4.90,-5.88,17.05
0.98,0.06,-0.24,0.86,-5.94,-2.84,8.64
0.99,0.03,-0.24,0.89,-6.69,-2.64,28.53
1.00,-0.02,-0.25,0.92,-9.94,-4.47,14.55
1.01,-0.05,-0.26,0.96,-11.73,-6.56,10.99
1.02,-0.05,-0.27,1.02,-11.40,-7.94,15.01
1.03,0.00,-0.28,1.01,-11.88,-11.82,25.04
1.04,0.04,-0.29,1.01,-10.55,-14.00,14.08
1.05,0.06,-0.29,1.03,-8.34,-14.73,23.65
1.06,0.05,-0.27,1.04,-4.64,-14.49,21.50
1.07,0.08,-0.26,1.00,-2.96,-13.07,20.76
1.08,0.07,-0.25,0.96,-4.17,-9.86,8.12
1.09,0.08,-0.26,1.01,-4.67,-7.10,28.69
1.10,0.08,-0.27,1.00,-6.27,-6.92,15.10
1.11,0.08,-0.28,1.02,-9.63,-5.31,19.54
1.12,0.11,-0.28,1.03,-12.38,-0.70,14.78
1.13,0.09,-0.28,1.03,-15.63,-0.27,12.15
1.14,0.09,-0.28,1.03,-17.19,-1.71,12.18
1.15,0.07,-0.29,1.01,-15.71,-2.98,15.28
1.16,0.03,-0.28,1.00,-15.60,-5.68,29.98
1.17,0.02,-0.25,0.98,-16.82,-7.85,19.88
1.18,0.04,-0.24,0.95,-18.49,-10.40,8.55
1.19,0.06,-0.24,0.98,-18.66,-11.42,23.01
1.20,0.08,-0.25,1.03,-18.02,-9.10,25.65
1.21,0.09,-0.25,1.05,-17.89,-7.65,9.63
1.22,0.10,-0.26,1.06,-18.64,-7.94,15.77
1.23,0.10,-0.27,1.07,-20.20,-9.30,19.80
1.24,0.13,-0.25,1.06,-20.73,-11.76,11.62
1.25,0.17,-0.24,1.05,-20.02,-13.18,16.02
1.26,0.17,-0.21,0.99,-18.43,-13.48,12.27
1.27,0.18,-0.19,0.95,-18.70,-10.37,-2.70
1.28,0.19,-0.19,0.93,-20.61,-4.41,9.54
1.29,0.20,-0.18,0.94,-23.15,-0.38,-5.77
1.30,0.20,-0.19,0.97,-25.98,5.27,-9.73
1.31,0.22,-0.23,1.01,-27.62,8.78,-11.45
1.32,0.23,-0.27,1.06,-27.36,9.36,-11.47
1.33,0.21,-0.27,1.05,-28.15,12.67,-13.63
1.34,0.14,-0.29,1.06,-28.84,20.89,-22.75
1.35,0.06,-0.26,1.06,-27.30,22.17,-22.34
1.36,-0.01,-0.24,1.03,-25.22,21.21,-25.62
1.37,-0.03,-0.23,0.99,-24.20,17.66,-30.31
1.38,-0.03,-0.23,0.99,-25.11,12.40,-28.44
1.39,-0.00,-0.24,1.02,-24.90,8.67,-22.20
1.40,0.04,-0.24,1.04,-23.11,6.89,-36.73
1.41,0.08,-0.25,1.07,-21.77,8.55,-18.78
1.42,0.12,-0.26,1.12,-20.14,15.36,-13.66
1.43,0.11,-0.27,1.11,-16.66,18.79,-17.82
1.44,0.08,-0.25,1.11,-14.64,21.42,-28.24
1.45,0.04,-0.24,1.11,-10.90,20.66,-28.85
1.46,0.02,-0.21,1.06,-9.36,19.47,-27.63
1.47,0.02,-0.19,1.01,-9.56,19.22,-19.74
1.48,0.05,-0.20,0.98,-11.25,21.07,-26.81
1.49,0.04,-0.21,1.03,-12.38,21.05,-33.15
1.50,0.05,-0.24,1.10,-14.73,27.25,-30.78
1.51,0.01,-0.26,1.15,-14.03,30.40,-49.28
1.52,-0.01,-0.27,1.21,-15.04,31.27,-47.13
1.53,-0.04,-0.29,1.25,-12.05,33.15,-54.64
1.54,-0.04,-0.31,1.25,-4.70,34.66,-39.25
1.55,-0.03,-0.30,1.26,3.07,35.45,-43.68
1.56,0.00,-0.27,1.21,7.42,26.79,-44.99
1.57,0.07,-0.24,1.12,8.09,19.39,-48.40
1.58,0.09,-0.20,1.02,5.28,10.18,-51.92
1.59,0.10,-0.17,0.92,-0.87,5.80,-60.08
1.60,0.09,-0.17,0.87,-5.16,12.76,-68.24
1.61,0.02,-0.19,0.87,-4.37,17.89,-69.69
1.62,-0.06,-0.20,0.87,-5.13,20.24,-71.74
1.63,-0.13,-0.23,0.87,-6.15,23.47,-71.53
1.64,-0.19,-0.25,0.95,-6.52,23.18,-66.03
1.65,-0.22,-0.26,1.02,-6.66,16.85,-67.60
1.66,-0.20,-0.28,1.07,-5.95,9.91,-66.52
1.67,-0.20,-0.29,1.08,-4.72,5.04,-62.46
1.68,-0.15,-0.27,1.08,-2.96,1.45,-59.16
1.69,-0.12,-0.28,1.07,0.47,-2.81,-57.62
1.70,-0.09,-0.27,1.02,0.06,-2.99,-74.31
1.71,-0.08,-0.25,1.04,1.24,2.44,-69.05
