time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00,0.14,-0.32,0.94,3.82,2.02,-6.00
0.01,0.13,-0.29,0.91,2.21,-4.06,-8.82
0.02,0.12,-0.27,0.90,-1.31,-7.60,-9.98
0.03,0.13,-0.27,0.89,-3.85,-10.00,-9.42
0.04,0.14,-0.28,0.88,-4.46,-10.60,-8.29
0.05,0.16,-0.29,0.89,-3.97,-8.38,-5.21
0.06,0.16,-0.30,0.91,-3.40,-5.60,-1.04
0.07,0.15,-0.30,0.91,-1.94,-3.10,1.13
0.08,0.16,-0.30,0.91,-2.44,-2.26,1.19
0.09,0.15,-0.31,0.91,-1.76,-2.90,0.03
0.10,0.17,-0.31,0.92,-1.85,-2.82,-1.68
0.11,0.17,-0.30,0.93,-3.21,-4.43,-3.48
0.12,0.18,-0.29,0.91,-4.73,-5.60,-5.86
0.13,0.17,-0.29,0.91,-6.34,-7.21,-7.97
0.14,0.16,-0.30,0.92,-4.93,-6.70,-7.62
0.15,0.17,-0.32,0.93,-0.96,-0.52,-5.57
0.16,0.16,-0.32,0.94,4.11,6.98,-2.06
0.17,0.16,-0.32,0.94,7.02,10.81,0.12
0.18,0.14,-0.31,0.92,7.24,9.97,1.07
0.19,0.14,-0.29,0.90,4.43,6.14,0.53
0.20,0.14,-0.29,0.90,0.09,1.60,-1.21
0.21,0.15,-0.28,0.90,-4.09,-4.20,-3.08
0.22,0.15,-0.28,0.90,-5.86,-8.00,-4.75
0.23,0.15,-0.29,0.92,-6.08,-10.18,-5.50
0.24,0.14,-0.30,0.92,-4.79,-9.97,-4.06
0.25,0.15,-0.30,0.92,-2.87,-8.87,-3.82
0.26,0.16,-0.30,0.91,-3.39,-5.85,-2.81
0.27,0.17,-0.30,0.92,-3.82,-4.38,-2.93
0.28,0.18,-0.30,0.91,-4.03,-2.64,-2.90
0.29,0.17,-0.31,0.93,-4.64,-0.34,-2.37
0.30,0.16,-0.33,0.94,-3.88,0.21,-1.28
0.31,0.18,-0.33,0.95,-2.06,0.55,-1.63
0.32,0.19,-0.34,0.96,1.01,1.71,-2.67
0.33,0.19,-0.33,0.95,2.75,2.27,-3.47
0.34,0.19,-0.31,0.94,3.60,0.82,-3.80
