time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00,0.06,-0.01,0.88,0.82,-1.59,0.40
0.01,0.09,0.00,0.86,-0.70,-1.85,-0.32
0.02,0.10,0.01,0.85,-2.08,1.88,-0.56
0.03,0.10,0.01,0.85,-2.90,4.31,0.15
0.04,0.09,0.00,0.85,-2.66,5.73,0.11
0.05,0.07,-0.00,0.88,-2.69,2.89,-0.78
0.06,0.07,0.00,0.88,-2.66,-1.71,-1.25
0.07,0.09,-0.02,0.89,-0.46,-1.48,-1.25
0.08,0.10,-0.01,0.88,-0.44,-0.17,-0.60
0.09,0.12,-0.01,0.88,-1.47,3.95,0.67
0.10,0.10,0.00,0.89,-1.89,4.21,0.20
0.11,0.12,-0.01,0.87,-1.85,7.31,0.14
0.12,0.07,0.01,0.89,-1.77,4.44,-1.88
0.13,0.04,-0.03,0.90,-0.26,0.76,-1.48
0.14,0.06,-0.02,0.88,0.72,-1.50,-0.76
0.15,0.09,-0.01,0.87,0.09,0.20,-1.19
0.16,0.08,0.00,0.86,-1.79,0.93,-0.72
0.17,0.08,0.01,0.86,-2.34,0.31,-0.26
0.18,0.08,-0.03,0.86,-0.47,1.28,-0.99
0.19,0.07,0.00,0.87,0.21,1.13,0.15
0.20,0.09,0.01,0.84,-1.10,3.01,1.16
0.21,0.07,0.02,0.85,-1.36,5.30,2.15
0.22,0.06,0.00,0.85,-2.18,4.89,2.81
0.23,0.04,0.00,0.87,-2.15,1.68,0.63
0.24,0.05,-0.02,0.88,0.31,-1.54,0.32
0.25,0.07,-0.01,0.88,0.31,-4.09,0.44
0.26,0.09,-0.00,0.87,0.31,-2.85,0.41
0.27,0.08,0.00,0.86,-1.39,-1.74,2.66
0.28,0.09,0.01,0.86,-3.25,0.09,2.31
0.29,0.09,0.00,0.87,-3.31,0.79,0.50
0.30,0.10,-0.02,0.87,-1.98,1.27,-0.98
0.31,0.10,-0.02,0.89,-2.69,-1.04,-1.39
0.32,0.12,-0.01,0.87,-1.30,1.13,-1.80
0.33,0.13,-0.00,0.86,-1.31,5.25,-2.60
0.34,0.12,-0.00,0.85,-2.58,8.37,-2.23
0.35,0.07,0.00,0.88,-2.44,4.93,-3.08
0.36,0.07,-0.02,0.87,-1.44,4.64,-4.89
0.37,0.03,-0.02,0.88,-0.44,1.19,-3.62
0.38,0.06,-0.00,0.87,-0.73,-0.96,-1.56
0.39,0.07,0.00,0.85,-0.32,0.98,-2.29
0.40,0.06,0.00,0.86,-2.15,-0.44,-0.40
0.41,0.08,0.01,0.86,-2.78,0.50,1.28
0.42,0.08,-0.01,0.88,-3.92,-0.82,-0.29
0.43,0.09,-0.02,0.89,-3.28,0.12,-0.84
0.44,0.11,-0.01,0.87,-2.43,1.85,-2.66
0.45,0.09,-0.01,0.87,-1.37,1.98,-2.24
0.46,0.10,-0.01,0.87,-1.63,2.63,-1.34
0.47,0.08,-0.00,0.87,-0.81,2.63,-1.83
0.48,0.07,-0.00,0.86,-0.52,3.57,-1.15
0.49,0.06,-0.01,0.87,-1.77,1.74,-2.63
0.50,0.06,-0.01,0.88,-2.05,0.78,-1.89
0.51,0.07,-0.01,0.87,-2.90,3.45,0.66
0.52,0.08,0.01,0.87,-4.73,4.17,0.73
0.53,0.08,-0.00,0.88,-5.07,5.33,0.76
0.54,0.07,-0.01,0.90,-6.06,2.00,0.60
0.55,0.07,-0.03,0.93,-3.54,1.24,-1.19
0.56,0.06,-0.01,0.98,-5.10,-1.27,1.21
0.57,0.10,-0.01,0.98,-6.84,-0.18,1.76
0.58,0.11,0.00,0.99,-7.88,2.05,1.62
0.59,0.12,-0.00,1.03,-9.08,5.95,3.62
0.60,0.13,0.01,1.08,-9.97,8.02,4.37
0.61,0.16,-0.01,1.11,-9.60,10.61,2.67
0.62,0.13,0.00,1.17,-10.64,9.10,-0.09
0.63,0.13,-0.03,1.18,-7.86,6.93,2.35
0.64,0.11,0.04,1.24,-7.80,4.21,-0.66
0.65,0.17,-0.04,1.24,-0.76,6.27,-2.89
0.66,0.14,-0.01,1.24,4.98,4.60,2.99
0.67,0.18,0.01,1.23,7.24,4.76,-3.33
0.68,0.12,-0.01,1.25,11.89,0.56,-7.62
0.69,0.07,-0.06,1.21,17.47,-1.86,-12.06
0.70,0.07,-0.01,1.19,19.34,-3.80,-1.04
0.71,0.05,0.02,1.18,20.56,-5.77,-0.08
0.72,0.01,-0.00,1.15,23.13,-11.25,1.01
0.73,0.05,0.06,1.09,14.98,-5.08,9.63
0.74,0.03,0.07,1.14,22.67,-12.76,7.37
0.75,-0.00,0.02,1.12,19.11,-18.67,10.56
0.76,0.04,0.02,1.10,11.53,-26.47,12.78
0.77,0.09,0.02,1.14,10.18,-33.19,8.61
0.78,0.08,-0.00,1.09,14.90,-29.57,5.30
0.79,0.15,0.03,1.02,16.00,-27.65,6.15
0.80,0.13,0.01,1.03,20.92,-28.06,6.12
0.81,0.15,0.08,1.03,19.86,-29.69,6.93
0.82,0.17,0.07,0.98,19.25,-29.48,5.18
0.83,0.11,0.03,1.03,19.24,-37.86,-4.14
0.84,0.13,0.02,1.02,21.63,-43.27,-9.74
0.85,0.13,0.05,0.99,24.96,-42.81,-7.66
0.86,0.16,0.11,0.97,25.21,-39.04,-6.84
0.87,0.15,0.07,0.92,24.05,-36.23,-4.56
0.88,0.20,0.11,0.89,19.98,-27.19,-1.31
0.89,0.24,0.14,0.86,16.93,-17.98,2.37
0.90,0.30,0.14,0.85,13.15,-3.59,-0.46
0.91,0.24,0.10,0.85,9.53,5.68,-2.67
0.92,0.11,0.09,0.87,7.91,-0.95,-6.78
0.93,0.05,0.08,0.90,2.72,-19.60,-11.54
0.94,0.08,0.03,0.89,7.05,-37.54,-23.47
0.95,0.14,0.03,0.88,8.41,-48.73,-31.80
0.96,0.24,0.06,0.87,5.73,-48.96,-32.06
0.97,0.31,0.04,0.86,11.02,-30.26,-27.10
0.98,0.30,0.10,0.84,7.40,-11.57,-17.68
0.99,0.28,0.12,0.84,7.71,8.92,-7.57
1.00,0.27,0.15,0.82,7.60,29.89,4.72
1.01,0.29,0.21,0.78,3.44,49.24,16.20
1.02,0.21,0.22,0.77,-7.19,55.40,21.22
1.03,0.13,0.17,0.81,-12.70,46.82,12.98
1.04,0.04,0.05,0.86,-13.16,18.72,-9.91
1.05,0.02,-0.00,0.91,-4.00,-15.74,-41.07
1.06,0.07,-0.06,0.91,7.91,-43.82,-58.78
1.07,0.20,-0.02,0.87,13.97,-46.14,-60.20
1.08,0.19,-0.02,0.84,18.34,-32.76,-50.96
1.09,0.15,0.00,0.83,20.18,-20.08,-37.53
1.10,0.10,0.04,0.79,21.30,-9.65,-23.85
1.11,0.11,0.07,0.76,19.10,-0.31,-10.40
1.12,0.16,0.12,0.72,12.11,9.97,3.68
1.13,0.22,0.12,0.71,2.53,23.68,16.73
1.14,0.27,0.08,0.73,-7.85,33.82,17.28
1.15,0.26,0.05,0.78,-15.71,38.73,7.33
1.16,0.12,-0.00,0.82,-15.02,21.02,-3.79
1.17,0.11,-0.07,0.83,-7.42,-1.33,-22.37
1.18,0.16,-0.06,0.82,2.96,-19.56,-36.47
1.19,0.21,-0.02,0.77,8.90,-22.37,-42.50
1.20,0.20,0.02,0.72,12.14,-15.28,-38.53
1.21,0.17,0.07,0.67,10.53,-9.15,-28.81
1.22,0.18,0.06,0.61,7.11,3.01,-15.36
1.23,0.18,0.07,0.59,1.79,15.47,-2.12
1.24,0.15,0.09,0.58,-4.60,28.11,10.53
1.25,0.19,0.03,0.58,-13.59,35.91,16.89
1.26,0.20,0.01,0.60,-19.79,42.20,9.65
1.27,0.05,-0.13,0.67,-10.56,29.34,-11.82
1.28,-0.01,-0.13,0.72,-0.85,3.69,-28.75
1.29,0.01,-0.12,0.72,14.50,-16.20,-42.05
1.30,0.05,-0.03,0.69,24.34,-24.82,-43.01
1.31,0.09,0.05,0.63,32.03,-24.58,-35.95
1.32,0.11,0.16,0.58,31.02,-16.18,-27.63
1.33,0.09,0.19,0.55,27.18,-9.63,-19.92
1.34,0.06,0.23,0.53,19.05,-6.29,-14.64
1.35,0.08,0.23,0.52,10.79,-4.85,-9.45
1.36,0.14,0.24,0.55,1.48,0.03,-3.27
1.37,0.19,0.18,0.57,-4.96,8.98,-0.58
1.38,0.15,0.16,0.62,-10.75,12.69,-0.38
1.39,0.11,0.13,0.65,-12.82,9.85,-0.64
1.40,0.11,0.09,0.66,-11.77,7.73,-1.94
1.41,0.11,0.11,0.69,-10.87,6.15,-2.49
1.42,0.10,0.10,0.68,-8.40,4.58,-2.32
1.43,0.11,0.13,0.68,-7.33,6.92,-0.75
1.44,0.11,0.14,0.68,-8.58,7.40,0.55
1.45,0.09,0.16,0.71,-10.02,2.35,-1.62
1.46,0.09,0.15,0.70,-11.24,-4.32,-4.34
1.47,0.16,0.12,0.73,-13.98,-6.53,-5.56
1.48,0.20,0.10,0.79,-15.28,-4.47,-5.89
1.49,0.22,0.06,0.80,-10.41,1.37,-4.21
1.50,0.20,0.09,0.81,-9.69,4.05,-2.17
1.51,0.17,0.09,0.80,-6.72,8.43,-0.89
1.52,0.15,0.12,0.80,-4.78,10.78,0.12
1.53,0.14,0.15,0.78,-4.47,11.83,1.54
1.54,0.15,0.13,0.79,-4.60,11.57,2.11
1.55,0.15,0.12,0.80,-4.02,11.44,-0.92
1.56,0.13,0.12,0.82,-3.69,5.24,-4.29
1.57,0.12,0.12,0.81,-2.64,2.53,-6.23
1.58,0.10,0.14,0.82,-3.77,-0.44,-5.69
1.59,0.11,0.14,0.81,-4.63,-0.58,-3.53
1.60,0.13,0.13,0.80,-5.94,0.81,-3.08
1.61,0.10,0.12,0.83,-7.79,-3.16,-2.90
1.62,0.11,0.08,0.84,-7.37,-1.21,-3.83
1.63,0.10,0.08,0.86,-8.32,-1.33,-4.21
1.64,0.10,0.06,0.87,-6.73,-1.89,-2.72
1.65,0.10,0.06,0.89,-6.89,-3.16,-1.76
1.66,0.13,0.07,0.88,-7.63,-3.11,-0.60
1.67,0.10,0.08,0.88,-5.50,-2.87,-0.78
1.68,0.09,0.10,0.87,-6.69,-5.68,1.24
1.69,0.11,0.10,0.86,-6.96,-6.93,1.53
1.70,0.10,0.09,0.85,-8.06,-6.96,1.79
1.71,0.10,0.09,0.85,-9.13,-7.40,1.53
1.72,0.10,0.08,0.85,-7.53,-7.54,-0.14
1.73,0.09,0.08,0.85,-6.32,-8.85,-1.42
1.74,0.13,0.06,0.86,-6.03,-10.50,-0.67
1.75,0.17,0.05,0.89,-4.50,-10.08,-2.05
1.76,0.16,0.08,0.92,-4.35,-12.95,-2.08
1.77,0.22,0.07,0.92,-3.71,-12.29,0.09
1.78,0.26,0.06,0.93,-1.71,-8.52,0.17
1.79,0.26,0.08,0.93,-0.38,-4.31,-0.12
1.80,0.28,0.05,0.91,1.47,1.39,-0.50
1.81,0.25,0.07,0.90,1.91,6.75,-1.80
1.82,0.19,0.08,0.89,2.82,7.10,-0.89
1.83,0.17,0.10,0.87,1.04,3.59,1.21
1.84,0.20,0.11,0.87,-0.14,4.47,0.37
1.85,0.19,0.11,0.85,-0.05,7.22,-0.82
1.86,0.16,0.11,0.86,-1.07,6.92,-1.16
1.87,0.15,0.09,0.87,-2.37,3.63,-0.31
1.88,0.16,0.07,0.86,-1.68,3.60,-0.87
1.89,0.15,0.09,0.88,-1.97,1.50,-2.63
1.90,0.14,0.09,0.88,0.06,-0.02,-3.69
1.91,0.15,0.10,0.88,0.61,-0.87,-3.18
1.92,0.17,0.09,0.87,0.99,-0.76,-3.16
1.93,0.19,0.09,0.86,1.47,0.29,-3.76
1.94,0.18,0.09,0.85,1.57,2.60,-4.26
1.95,0.16,0.09,0.86,2.31,4.09,-3.86
1.96,0.16,0.10,0.86,2.06,5.80,-2.43
1.97,0.16,0.08,0.85,1.36,4.99,-4.06
1.98,0.17,0.07,0.86,1.11,5.28,-4.98
1.99,0.14,0.09,0.86,-1.05,2.27,-3.45
2.00,0.17,0.09,0.87,-0.67,2.78,-2.24
2.01,0.17,0.10,0.86,-1.01,1.88,-1.79
2.02,0.16,0.10,0.86,-0.90,4.31,-0.49
2.03,0.17,0.10,0.86,-0.67,5.74,-0.50
2.04,0.16,0.11,0.86,-1.73,4.79,0.32
2.05,0.16,0.11,0.85,-1.97,5.51,0.20
2.06,0.14,0.10,0.85,-1.33,6.40,-1.40
2.07,0.11,0.12,0.85,-3.01,3.95,-0.06
2.08,0.12,0.11,0.86,-3.30,1.07,-0.90
2.09,0.13,0.07,0.86,-0.95,1.18,-2.05
2.10,0.11,0.08,0.88,0.12,-1.02,-3.36
2.11,0.11,0.07,0.87,1.28,-4.23,-4.03
2.12,0.12,0.07,0.85,2.23,-5.44,-4.58
2.13,0.15,0.08,0.86,2.85,-5.69,-4.72
2.14,0.17,0.08,0.84,2.73,-3.28,-4.82
2.15,0.14,0.10,0.85,2.64,-3.50,-4.46
2.16,0.11,0.11,0.85,0.37,-5.80,-0.37
2.17,0.16,0.09,0.84,0.06,-3.04,1.24
2.18,0.17,0.11,0.84,-0.50,0.11,2.05
2.19,0.19,0.10,0.85,-2.03,2.64,2.26
2.20,0.18,0.11,0.86,-1.39,3.97,0.56
2.21,0.18,0.11,0.87,-1.24,3.33,-0.82
