time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.01,-0.02,-0.36,0.98,-7.34,-1.39,-17.79
0.02,-0.02,-0.36,0.98,-7.63,-2.08,-11.69
0.03,-0.00,-0.36,0.98,-6.29,-1.04,-10.99
0.04,-0.00,-0.35,0.97,-6.02,-0.89,-13.77
0.05,0.00,-0.34,0.97,-6.93,0.12,-9.98
0.06,-0.00,-0.35,0.96,-8.08,2.05,-0.76
0.07,-0.01,-0.34,0.97,-8.47,2.58,-2.20
0.08,-0.03,-0.35,0.98,-9.21,1.76,-13.80
0.09,-0.03,-0.37,0.99,-8.44,1.24,-6.95
0.10,-0.03,-0.36,0.99,-8.98,0.85,-6.72
0.11,-0.04,-0.36,0.99,-6.81,0.60,-4.02
0.12,-0.03,-0.36,0.98,-6.79,0.67,-10.27
0.13,-0.02,-0.36,0.98,-6.32,0.23,3.66
0.14,-0.02,-0.35,0.96,-6.49,0.63,-10.75
0.15,-0.01,-0.36,0.99,-7.51,1.08,-4.61
0.16,-0.01,-0.36,0.98,-6.85,2.12,-17.89
0.17,-0.02,-0.35,0.99,-7.24,1.36,-0.98
0.18,-0.03,-0.36,0.99,-7.21,1.04,3.27
0.19,-0.03,-0.37,1.00,-5.74,0.41,-22.15
0.20,-0.02,-0.36,0.99,-5.65,-0.21,-11.22
0.21,-0.01,-0.37,1.00,-4.55,-0.31,-23.48
0.22,-0.01,-0.36,0.98,-4.47,0.58,-4.00
0.23,-0.02,-0.35,0.98,-5.31,1.66,-6.53
0.24,-0.03,-0.35,0.98,-7.04,1.54,-16.03
0.25,-0.04,-0.36,0.98,-7.68,0.96,-4.12
0.26,-0.02,-0.36,0.99,-6.49,0.41,-27.82
0.27,-0.02,-0.36,0.99,-6.87,0.53,-2.89
0.28,-0.02,-0.35,0.98,-7.56,0.50,-4.64
0.29,-0.01,-0.34,0.97,-7.59,1.07,-5.85
0.30,-0.01,-0.37,0.99,-7.97,0.84,-2.23
0.31,-0.01,-0.36,0.99,-6.52,0.90,-2.02
0.32,-0.03,-0.36,0.99,-6.82,0.23,-12.96
0.33,-0.01,-0.36,0.99,-5.97,0.24,-14.93
0.34,-0.02,-0.37,0.98,-5.22,0.02,-17.56
0.35,-0.01,-0.36,0.99,-6.14,0.20,-14.56
0.36,-0.02,-0.35,0.98,-5.30,0.37,-18.61
0.37,-0.01,-0.35,0.99,-6.05,0.60,-19.16
0.38,-0.02,-0.35,0.98,-6.14,1.13,-8.43
0.39,-0.02,-0.36,0.99,-5.77,1.18,-16.69
0.40,-0.03,-0.36,1.00,-5.97,0.66,-11.30
0.41,-0.04,-0.36,1.00,-6.49,0.34,-25.08
0.42,-0.03,-0.36,1.00,-4.43,0.24,-10.47
0.43,-0.01,-0.35,0.98,-4.89,0.41,-23.74
0.44,-0.02,-0.36,0.97,-4.85,1.10,-9.48
0.45,-0.03,-0.36,0.99,-4.49,0.47,-11.54
0.46,-0.03,-0.35,0.98,-5.37,-0.18,-6.55
0.47,-0.02,-0.37,0.98,-4.61,-0.55,-9.22
0.48,-0.03,-0.36,0.98,-4.50,-0.35,-8.15
0.49,-0.03,-0.35,0.97,-4.73,-0.43,-8.03
0.50,-0.03,-0.34,0.98,-4.32,-0.05,-10.76
0.51,-0.02,-0.35,0.98,-6.50,0.47,-11.57
0.52,-0.03,-0.37,0.99,-5.74,-0.18,-8.08
0.53,-0.02,-0.36,0.97,-5.36,-0.55,-22.06
0.54,-0.02,-0.36,0.98,-5.74,-0.14,-0.29
0.55,-0.02,-0.35,0.98,-5.83,-0.49,-7.71
0.56,-0.02,-0.35,0.98,-5.97,-1.07,-0.32
0.57,-0.03,-0.36,1.00,-5.18,-1.57,1.62
0.58,-0.03,-0.35,0.99,-5.13,-1.30,-3.22
0.59,-0.03,-0.35,0.98,-5.08,-1.82,1.51
0.60,-0.03,-0.35,0.99,-5.98,-1.94,-8.27
0.61,-0.03,-0.36,1.00,-5.71,-2.34,-12.85
0.62,-0.01,-0.36,0.99,-5.69,-2.40,9.56
0.63,-0.02,-0.37,0.99,-5.50,-2.38,-2.17
0.64,-0.02,-0.37,0.99,-4.03,-1.60,0.55
0.65,-0.01,-0.36,0.99,-3.04,-1.04,-11.62
0.66,-0.02,-0.36,0.99,-3.74,-0.92,1.48
0.67,-0.01,-0.37,0.99,-3.16,-0.53,-9.18
0.68,-0.01,-0.37,0.98,-3.51,-0.18,-5.48
0.69,-0.01,-0.36,0.97,-2.75,0.44,-10.53
0.70,-0.02,-0.35,0.95,-4.34,1.27,-2.75
0.71,-0.03,-0.35,0.95,-4.47,1.10,-3.25
0.72,-0.03,-0.36,0.95,-4.90,1.15,-11.73
0.73,-0.03,-0.36,0.94,-5.04,0.56,-15.31
