time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00,0.24,-0.22,0.91,1.51,-4.02,-3.04
0.01,0.24,-0.23,0.92,3.54,-5.74,-3.21
0.02,0.24,-0.22,0.90,3.88,-6.21,-2.43
0.03,0.25,-0.22,0.90,2.78,-5.53,-1.05
0.04,0.26,-0.22,0.90,1.21,-4.69,-0.40
0.05,0.26,-0.22,0.90,0.40,-4.43,-0.35
0.06,0.26,-0.22,0.90,-1.02,-4.58,-0.31
0.07,0.27,-0.22,0.91,-1.22,-4.84,-0.21
0.08,0.27,-0.23,0.90,-1.39,-4.02,-0.14
0.09,0.27,-0.22,0.90,-1.94,-3.89,-0.08
0.10,0.27,-0.23,0.91,-1.02,-3.95,-0.93
0.11,0.27,-0.23,0.92,-0.40,-5.44,-1.22
0.12,0.28,-0.22,0.92,0.73,-6.46,-1.77
0.13,0.29,-0.23,0.91,0.06,-5.37,-1.66
0.14,0.31,-0.23,0.91,0.11,-1.42,-1.40
0.15,0.30,-0.23,0.91,0.08,2.89,-0.96
0.16,0.29,-0.23,0.92,-0.72,5.10,-1.01
0.17,0.27,-0.22,0.91,-1.42,4.15,-1.10
0.18,0.26,-0.23,0.91,-2.92,1.31,-1.44
0.19,0.26,-0.22,0.92,-3.01,-1.69,-1.54
0.20,0.26,-0.22,0.91,-2.61,-2.85,-1.42
0.21,0.26,-0.22,0.92,-1.56,-3.36,-1.62
0.22,0.26,-0.24,0.92,-0.38,-3.73,-1.50
0.23,0.29,-0.24,0.93,1.88,-1.07,-0.81
0.24,0.29,-0.24,0.92,3.22,2.09,-0.60
0.25,0.28,-0.23,0.92,4.05,4.14,-1.10
0.26,0.28,-0.23,0.92,3.79,4.38,-1.40
0.27,0.27,-0.21,0.91,3.74,3.68,-1.24
0.28,0.26,-0.20,0.91,1.62,1.65,-1.30
0.29,0.27,-0.21,0.89,-1.31,0.44,-1.01
0.30,0.27,-0.22,0.90,-2.93,0.40,-1.10
0.31,0.28,-0.23,0.91,-3.37,-0.15,-1.50
0.32,0.28,-0.24,0.94,-1.74,-0.20,-2.18
0.33,0.29,-0.25,0.95,0.41,1.39,-2.06
0.34,0.29,-0.25,0.94,2.60,2.34,-2.46
0.35,0.29,-0.24,0.92,3.47,4.11,-2.09
0.36,0.28,-0.23,0.92,3.16,6.06,-2.00
0.37,0.27,-0.23,0.90,2.50,6.63,-1.37
0.38,0.27,-0.22,0.89,0.92,6.06,-1.86
0.39,0.27,-0.22,0.90,-1.45,3.68,-2.23
0.40,0.26,-0.23,0.90,-1.95,1.13,-2.24
0.41,0.25,-0.23,0.92,-2.27,-1.07,-2.75
0.42,0.25,-0.24,0.92,-1.48,-3.50,-2.27
0.43,0.26,-0.24,0.93,-0.64,-3.51,-2.38
0.44,0.27,-0.24,0.93,-0.05,-1.77,-2.89
0.45,0.27,-0.23,0.94,0.37,-0.58,-2.72
0.46,0.25,-0.24,0.95,0.60,-0.60,-3.21
0.47,0.25,-0.23,0.94,1.57,-2.46,-2.99
0.48,0.26,-0.23,0.94,1.15,-1.97,-2.15
0.49,0.27,-0.23,0.93,0.63,-0.69,-1.92
0.50,0.27,-0.23,0.94,0.55,-1.16,-2.15
0.51,0.27,-0.24,0.94,0.69,-2.26,-2.00
0.52,0.27,-0.25,0.96,0.61,-3.04,-2.14
0.53,0.27,-0.24,0.95,1.94,-5.25,-2.56
0.54,0.28,-0.25,0.94,2.55,-6.06,-2.31
0.55,0.29,-0.24,0.92,1.51,-3.82,-2.32
0.56,0.31,-0.24,0.92,0.27,-0.11,-2.35
0.57,0.31,-0.24,0.93,-0.27,1.88,-2.78
0.58,0.31,-0.24,0.94,-0.61,3.54,-3.34
0.59,0.30,-0.24,0.95,0.06,3.11,-3.94
0.60,0.28,-0.25,0.97,1.42,1.02,-4.46
0.61,0.26,-0.24,0.96,1.42,-1.10,-5.04
0.62,0.26,-0.25,0.98,1.79,-3.10,-5.68
0.63,0.25,-0.25,0.99,2.06,-4.34,-5.54
0.64,0.25,-0.24,0.99,2.64,-5.56,-4.53
