time,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.00,0.40,-0.29,0.82,-10.50,5.05,-13.21
0.01,0.41,-0.30,0.84,-9.21,4.23,-14.29
0.02,0.41,-0.29,0.82,-7.44,5.54,-14.66
0.03,0.40,-0.28,0.81,-7.92,6.34,-14.69
0.04,0.38,-0.28,0.80,-7.83,5.83,-13.92
0.05,0.37,-0.27,0.79,-8.06,6.58,-12.60
0.06,0.36,-0.27,0.80,-10.43,5.16,-11.54
0.07,0.37,-0.28,0.82,-10.66,5.62,-10.49
0.08,0.38,-0.30,0.81,-9.71,5.31,-10.21
0.09,0.40,-0.31,0.82,-10.52,7.04,-10.08
0.10,0.40,-0.32,0.85,-10.27,7.33,-10.11
0.11,0.40,-0.34,0.86,-9.25,5.76,-10.26
0.12,0.41,-0.35,0.87,-7.53,1.59,-11.18
0.13,0.42,-0.34,0.85,-5.65,-1.37,-12.67
0.14,0.41,-0.34,0.86,-4.17,-1.31,-13.48
0.15,0.40,-0.33,0.86,-3.25,0.05,-12.95
0.16,0.39,-0.32,0.85,-3.83,1.77,-12.63
0.17,0.38,-0.30,0.85,-3.51,1.37,-12.18
0.18,0.37,-0.30,0.85,-2.37,-0.02,-11.69
0.19,0.37,-0.29,0.84,-1.95,0.29,-10.24
0.20,0.37,-0.30,0.84,-4.31,0.60,-9.24
0.21,0.37,-0.32,0.87,-6.24,0.53,-8.76
0.22,0.37,-0.33,0.89,-6.37,-2.73,-9.27
0.23,0.36,-0.35,0.89,-4.96,-7.34,-10.06
0.24,0.36,-0.34,0.88,-3.47,-11.33,-10.56
0.25,0.36,-0.32,0.86,-1.98,-12.08,-10.02
0.26,0.36,-0.30,0.82,-1.82,-10.69,-9.05
0.27,0.34,-0.28,0.81,-2.82,-9.50,-7.30
0.28,0.35,-0.26,0.78,-3.83,-9.53,-6.31
0.29,0.35,-0.27,0.78,-6.18,-8.87,-5.02
0.30,0.36,-0.27,0.80,-8.03,-9.18,-4.27
0.31,0.38,-0.29,0.81,-9.83,-9.74,-4.38
0.32,0.41,-0.30,0.82,-10.29,-10.72,-4.96
0.33,0.41,-0.30,0.84,-10.32,-11.83,-5.88
0.34,0.43,-0.32,0.84,-9.08,-11.89,-6.34
0.35,0.44,-0.32,0.84,-8.75,-10.35,-7.42
0.36,0.42,-0.32,0.85,-8.03,-8.66,-7.97
0.37,0.41,-0.32,0.86,-7.50,-7.42,-7.91
0.38,0.40,-0.32,0.85,-7.71,-6.63,-7.66
0.39,0.40,-0.32,0.85,-8.00,-6.09,-7.27
0.40,0.41,-0.31,0.83,-8.29,-5.69,-7.60
0.41,0.41,-0.31,0.81,-9.27,-5.05,-7.65
0.42,0.41,-0.31,0.83,-9.77,-3.71,-7.34
0.43,0.42,-0.32,0.84,-8.85,-3.19,-6.98
0.44,0.42,-0.32,0.85,-8.44,-2.70,-6.78
0.45,0.42,-0.32,0.84,-7.27,-2.08,-6.50
0.46,0.42,-0.32,0.84,-7.24,-1.62,-6.27
0.47,0.41,-0.34,0.87,-7.80,-2.63,-7.33
0.48,0.41,-0.33,0.87,-6.44,-4.38,-7.68
0.49,0.39,-0.34,0.86,-6.43,-5.31,-7.68
0.50,0.40,-0.33,0.84,-6.92,-4.82,-7.37
0.51,0.40,-0.32,0.85,-6.60,-4.17,-6.73
0.52,0.40,-0.31,0.81,-7.36,-1.95,-6.27
0.53,0.39,-0.30,0.82,-8.27,-1.34,-5.60
0.54,0.40,-0.31,0.80,-8.03,0.08,-4.63
0.55,0.41,-0.31,0.81,-10.50,-0.50,-4.61
0.56,0.41,-0.32,0.80,-10.35,-1.33,-4.23
0.57,0.43,-0.32,0.81,-10.82,-1.01,-4.20
0.58,0.43,-0.34,0.82,-10.75,-1.21,-4.81
0.59,0.43,-0.34,0.83,-8.99,-0.96,-5.07
0.60,0.43,-0.33,0.82,-8.40,-1.18,-5.28
0.61,0.43,-0.33,0.82,-7.97,0.21,-4.95
0.62,0.43,-0.33,0.83,-8.47,1.83,-4.31
0.63,0.44,-0.33,0.81,-9.30,2.23,-4.92
0.64,0.44,-0.34,0.83,-10.17,3.79,-4.12
0.65,0.45,-0.36,0.84,-10.58,3.94,-4.81
0.66,0.44,-0.36,0.85,-10.18,3.15,-5.39
0.67,0.46,-0.36,0.84,-9.07,2.60,-6.05
0.68,0.46,-0.36,0.84,-8.66,2.00,-6.41
0.69,0.46,-0.36,0.85,-7.68,1.16,-6.85
0.70,0.46,-0.35,0.82,-6.72,0.08,-7.73
0.71,0.45,-0.34,0.81,-7.22,-0.61,-8.75
0.72,0.44,-0.33,0.80,-7.24,-0.61,-8.43
0.73,0.45,-0.33,0.80,-7.11,-0.87,-8.67
0.74,0.45,-0.32,0.79,-7.85,1.13,-8.02
0.75,0.44,-0.35,0.83,-8.46,1.48,-8.09
0.76,0.45,-0.34,0.84,-7.44,1.97,-8.08
0.77,0.45,-0.35,0.82,-8.41,3.08,-8.15
0.78,0.44,-0.36,0.85,-8.53,2.18,-9.42
0.79,0.42,-0.37,0.84,-7.15,0.24,-9.95
0.80,0.41,-0.36,0.83,-6.14,-1.89,-9.97
0.81,0.40,-0.36,0.84,-4.73,-4.64,-10.00
0.82,0.40,-0.35,0.81,-4.60,-7.05,-9.71
0.83,0.40,-0.33,0.81,-4.08,-8.35,-9.16
0.84,0.41,-0.33,0.80,-3.95,-7.16,-8.26
0.85,0.42,-0.32,0.80,-3.39,-6.72,-7.33
0.86,0.44,-0.31,0.78,-2.92,-5.60,-6.67
0.87,0.45,-0.31,0.77,-4.41,-3.79,-6.05
0.88,0.47,-0.31,0.77,-4.98,-2.02,-5.62
0.89,0.48,-0.31,0.75,-6.87,0.50,-5.80
0.90,0.48,-0.32,0.79,-8.09,0.24,-6.50
0.91,0.48,-0.33,0.80,-7.19,0.76,-6.49
0.92,0.48,-0.35,0.81,-6.92,1.02,-6.92
0.93,0.48,-0.35,0.82,-6.21,1.21,-7.47
0.94,0.47,-0.36,0.81,-5.60,1.28,-7.40
0.95,0.47,-0.37,0.83,-5.01,1.18,-7.40
0.96,0.45,-0.38,0.85,-3.97,-0.58,-7.36
0.97,0.46,-0.38,0.83,-2.81,-0.99,-7.36
0.98,0.45,-0.38,0.82,-3.68,-0.95,-7.73
0.99,0.44,-0.37,0.81,-2.76,-1.19,-7.08
1.00,0.45,-0.38,0.80,-3.25,-0.26,-6.76
1.01,0.46,-0.38,0.80,-3.33,-0.06,-6.93
1.02,0.46,-0.40,0.80,-3.16,0.75,-8.00
1.03,0.45,-0.39,0.81,-2.99,1.24,-8.17
1.04,0.45,-0.39,0.81,-2.41,1.13,-8.79
1.05,0.44,-0.37,0.80,-2.21,1.60,-8.81
1.06,0.43,-0.36,0.79,-2.64,1.88,-8.05
1.07,0.43,-0.37,0.80,-3.50,2.38,-7.21
1.08,0.43,-0.39,0.81,-3.01,1.18,-6.82
1.09,0.43,-0.39,0.81,-2.38,0.60,-6.35
1.10,0.44,-0.40,0.82,-2.29,0.35,-6.75
1.11,0.46,-0.40,0.80,-2.21,1.73,-7.18
1.12,0.46,-0.39,0.80,-3.05,2.61,-7.79
1.13,0.46,-0.39,0.80,-3.37,2.99,-8.11
1.14,0.44,-0.39,0.81,-4.02,2.47,-8.26
1.15,0.45,-0.39,0.79,-3.63,2.44,-8.41
1.16,0.45,-0.38,0.80,-3.73,3.25,-8.26
1.17,0.44,-0.38,0.80,-2.96,4.08,-7.53
1.18,0.44,-0.38,0.79,-3.05,4.79,-6.96
1.19,0.43,-0.38,0.78,-3.69,5.28,-6.23
1.20,0.45,-0.39,0.79,-3.50,5.77,-5.92
1.21,0.43,-0.39,0.81,-5.10,3.68,-6.38
1.22,0.44,-0.40,0.82,-4.17,2.87,-5.88
1.23,0.44,-0.41,0.82,-3.85,1.51,-6.18
1.24,0.45,-0.41,0.82,-2.31,0.81,-6.08
1.25,0.45,-0.41,0.82,-1.05,0.27,-5.98
1.26,0.44,-0.40,0.81,-0.15,-0.50,-6.47
1.27,0.44,-0.39,0.80,0.52,0.15,-6.26
1.28,0.43,-0.38,0.78,0.76,0.89,-6.20
1.29,0.43,-0.36,0.77,0.96,2.37,-5.53
1.30,0.44,-0.36,0.77,-0.93,3.50,-5.44
1.31,0.43,-0.36,0.75,-2.12,3.57,-5.01
1.32,0.42,-0.36,0.76,-2.69,2.56,-4.32
1.33,0.41,-0.36,0.76,-2.95,1.53,-3.86
1.34,0.42,-0.36,0.75,-3.48,0.43,-3.07
1.35,0.44,-0.37,0.79,-3.02,-0.24,-2.70
1.36,0.44,-0.38,0.78,-2.29,0.32,-1.95
1.37,0.44,-0.40,0.81,-2.00,1.11,-1.79
1.38,0.46,-0.40,0.81,-0.37,1.10,-2.34
1.39,0.45,-0.38,0.78,-0.40,0.66,-2.63
1.40,0.46,-0.38,0.77,-1.79,1.36,-2.58
1.41,0.46,-0.38,0.78,-3.73,1.15,-3.02
1.42,0.45,-0.39,0.78,-3.62,0.14,-3.08
1.43,0.45,-0.39,0.79,-2.89,-0.37,-3.33
1.44,0.46,-0.40,0.80,-2.20,-0.82,-3.66
1.45,0.46,-0.39,0.79,-1.53,0.31,-3.62
1.46,0.46,-0.38,0.78,-1.68,0.76,-3.77
1.47,0.46,-0.39,0.77,-2.47,2.93,-3.45
1.48,0.46,-0.39,0.80,-2.93,3.10,-3.98
1.49,0.44,-0.39,0.81,-2.00,2.35,-4.38
1.50,0.43,-0.38,0.79,-0.92,2.52,-3.95
1.51,0.43,-0.37,0.78,0.82,2.35,-3.37
1.52,0.45,-0.38,0.80,-1.69,1.19,-3.63
1.53,0.45,-0.37,0.80,-2.11,1.25,-3.85
1.54,0.45,-0.39,0.80,-0.47,2.09,-3.05
1.55,0.41,-0.38,0.80,-0.24,-2.84,-3.66
1.56,0.45,-0.39,0.81,-0.38,0.38,-1.63
1.57,0.48,-0.40,0.82,0.95,-1.27,-2.87
1.58,0.46,-0.38,0.78,2.26,-0.90,-2.24
1.59,0.46,-0.38,0.78,1.30,-0.38,-1.36
1.60,0.47,-0.39,0.80,1.15,-0.40,-1.97
1.61,0.47,-0.39,0.79,1.04,-1.42,-2.73
1.62,0.48,-0.39,0.79,0.90,-0.64,-3.18
1.63,0.47,-0.39,0.80,1.04,-0.52,-3.69
1.64,0.46,-0.39,0.78,1.10,0.08,-3.15
1.65,0.45,-0.39,0.78,0.20,0.69,-2.50
1.66,0.44,-0.40,0.79,0.66,-0.58,-2.12
1.67,0.45,-0.38,0.78,0.73,-0.85,-1.86
1.68,0.45,-0.39,0.78,0.49,-0.93,-1.21
1.69,0.45,-0.38,0.76,-0.92,-0.73,-0.92
1.70,0.45,-0.39,0.77,-1.66,-0.89,-0.02
1.71,0.46,-0.38,0.78,-1.88,-0.75,0.02
1.72,0.46,-0.37,0.76,-2.60,-0.55,0.17
1.73,0.47,-0.37,0.76,-3.91,1.48,0.12
1.74,0.49,-0.37,0.75,-4.69,2.56,-0.09
1.75,0.51,-0.37,0.77,-6.64,3.45,-1.69
1.76,0.49,-0.37,0.80,-4.31,2.34,-2.67
1.77,0.49,-0.36,0.79,-4.27,4.85,-3.07
1.78,0.49,-0.36,0.79,-4.08,6.08,-3.02
1.79,0.47,-0.36,0.80,-4.06,8.72,-2.87
1.80,0.47,-0.38,0.83,-3.82,9.53,-2.92
1.81,0.47,-0.38,0.84,-2.03,8.55,-3.15
1.82,0.46,-0.38,0.83,-1.39,7.97,-3.91
1.83,0.44,-0.38,0.85,-0.23,6.32,-3.91
1.84,0.43,-0.39,0.83,1.82,5.15,-3.08
1.85,0.42,-0.38,0.82,2.64,3.07,-2.61
1.86,0.43,-0.38,0.80,3.22,1.24,-2.00
1.87,0.43,-0.39,0.79,3.66,-0.41,-1.22
1.88,0.45,-0.40,0.78,4.02,-0.09,-0.58
1.89,0.46,-0.41,0.79,4.11,-0.76,-0.73
1.90,0.47,-0.41,0.78,5.25,0.34,-1.08
1.91,0.47,-0.41,0.78,5.48,1.21,-1.74
1.92,0.46,-0.41,0.77,5.60,0.96,-2.11
1.93,0.46,-0.40,0.75,5.15,-0.12,-2.09
1.94,0.45,-0.39,0.73,3.68,-0.23,-2.49
1.95,0.45,-0.39,0.73,2.08,-0.82,-2.90
1.96,0.46,-0.39,0.73,0.15,-0.09,-3.18
1.97,0.46,-0.40,0.74,0.08,0.27,-3.30
1.98,0.45,-0.40,0.74,-0.03,0.92,-3.56
